K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1		NPOP1	NPOP2	RSANC	T1	MUTRATE	GEOM
11.1	16.5	13.8	3.81838	23.8	0.890323	0.929103	0.0396471	0.0188039	0.909713	0.0274216	0.946557	0.488144	0.416855	0.167501	0.168678	0.452499	0.0504085	0.508657	0.243336	0.365122	0.106925	0.153157	0.304229	0.0861152	26.5	48.4	16.655	29.9303	37.45	15.4856	53.7	0.0704826	643.435		120260	64956	10.0960017	56549	1.61831e-04	0.2512094
18	24.6	21.3	4.6669	42.3	0.94375	0.969487	0.0202384	0.00931977	0.956619	0.0181989	0.978638	0.5213	0.398121	0.199053	0.119556	0.45971	0.0871006	0.272781	0.117182	0.158799	0.0628081	0.0776325	0.13799	0.0294276	38.7	71.5	17.9632	43.5947	55.1	23.1931	199.6	0.0410702	32161.8		26662	156096	14.7157571	84436	4.54305e-04	0.1541128
11	8.7	9.85	1.62635	18.2	0.870766	0.824744	0.0454755	0.0602884	0.847755	0.0325428	0.916901	0.610262	0.800925	0.21476	0.147277	0.705594	0.134819	0.440904	0.276181	0.2163	0.146297	0.12394	0.24624	0.0423424	23	10.2	19.9165	2.93636	16.6	9.05097	52.1	0.145003	2308.42		138690	147329	12.2194715	226092	5.05389e-04	0.1031318
20.2	21.8	21	1.13137	40.6	0.962702	0.956154	0.0136161	0.0130016	0.959428	0.00462997	0.97766	0.26989	0.554066	0.117149	0.0750527	0.411978	0.200942	0.367381	0.18726	0.20455	0.0969532	0.106315	0.195905	0.0122258	96.3	38.9	60.9299	6.10009	67.6	40.5879	135.1	0.0372969	5569.76		50089	184736	64.2900866	53005	2.63572e-04	0.1785189
18.9	18.6	18.75	0.212132	32.9	0.953226	0.946154	0.0246155	0.0106409	0.94969	0.00500063	0.967293	0.551808	0.499654	0.134589	0.0878141	0.525731	0.0368785	0.590399	0.34527	0.340156	0.0931887	0.0776222	0.342713	0.0036164	35.9	37.4	14.2941	9.19178	36.65	1.06066	56.6	0.0364962	502.93		98309	147796	41.1681807	127323	4.65434e-04	0.1628791
17.8	19	18.4	0.848528	33.2	0.950605	0.945641	0.0198281	0.0180825	0.948123	0.00350995	0.967645	0.203806	0.196608	0.209129	0.11659	0.200207	0.00508946	0.226865	0.124861	0.129971	0.0695086	0.0590922	0.127416	0.00361299	135.2	135.5	64.9492	85.5794	135.35	0.212132	171.5	0.0400542	1597.65		124209	50237	82.9478005	88674	8.67161e-04	0.2377412
16.1	19.1	17.6	2.12132	32.6	0.939516	0.943846	0.0167337	0.0217555	0.941681	0.00306179	0.965689	0.600154	0.58149	0.174686	0.251707	0.590822	0.0131973	0.423643	0.235975	0.267478	0.171588	0.205965	0.251727	0.0222759	31.1	48	21.9112	47.5091	39.55	11.9501	115.4	0.0479553	14238.3		28075	51888	30.2912468	139214	4.57694e-04	0.1010265
21.8	12.6	17.2	6.50538	31.8	0.972379	0.892821	0.0104567	0.0369019	0.9326	0.0562564	0.956768	0.420721	0.759677	0.211079	0.132618	0.590199	0.239678	0.418989	0.298013	0.167145	0.16529	0.0879802	0.232579	0.0925381	67.1	16.5	38.0977	7.18409	41.8	35.7796	95.2	0.0581899	5239.3		128345	99271	66.3755585	101308	9.64301e-04	0.2151712
10.8	19.2	15	5.9397	28.2	0.887903	0.948205	0.033335	0.0284064	0.918054	0.0426399	0.956338	0.782482	0.542876	0.151851	0.27096	0.662679	0.169427	0.380656	0.155004	0.274661	0.133394	0.258509	0.214832	0.0846101	13.5	51.2	5.27573	39.9744	32.35	26.6579	158.9	0.0701942	49622.5		128146	84101	79.9018214	129372	4.17503e-04	0.1177181
17.1	10.1	13.6	4.94975	25.7	0.946573	0.840256	0.0143588	0.0462179	0.893414	0.0751769	0.93662	0.502955	0.741941	0.158835	0.237965	0.622448	0.168989	0.517957	0.349203	0.203562	0.0907321	0.0585331	0.276382	0.102984	37.2	14.7	15.817	7.90288	25.95	15.9099	51	0.0998298	615.489		94817	70122	49.5033464	209020	3.59035e-04	0.1759990
