K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1		NPOP1	NPOP2	RSANC	T1	MUTRATE	GEOM
16.4	16.6	16.5	0.141421	27.9	0.94254	0.926923	0.0305207	0.0341934	0.934732	0.0110431	0.956495	0.371949	0.752161	0.153853	0.171957	0.562055	0.268851	0.474145	0.279682	0.305169	0.13665	0.172772	0.292425	0.0180217	55.6	23.6	37.3577	13.5908	39.6	22.6274	75.2	0.0462064	2636.63		61258	160420	82.9140052	201705	5.49959e-04	0.2632603
12.4	12.2	12.3	0.141421	22.7	0.90504	0.870256	0.028185	0.0476828	0.887648	0.0245959	0.936776	0.613755	0.740127	0.303784	0.158518	0.676941	0.089359	0.411379	0.229866	0.236716	0.145319	0.172802	0.233291	0.00484368	26.5	17	18.9576	9.09212	21.75	6.71751	71.2	0.103339	4308.76		37855	35541	17.5161154	34915	4.30976e-04	0.1257486
18.6	19.9	19.25	0.919239	37.2	0.953629	0.947051	0.0177552	0.0293913	0.95034	0.00465117	0.973826	0.298201	0.371489	0.248735	0.302812	0.334845	0.0518219	0.231201	0.109651	0.133308	0.0747241	0.127188	0.121479	0.0167276	128.1	167.2	125.05	203.943	147.65	27.6479	254.5	0.0477634	18990.4		152677	15010	71.7113573	103943	7.79167e-04	0.1288498
21.7	24.1	22.9	1.69706	42.5	0.970766	0.968205	0.0121061	0.0131968	0.969486	0.0018109	0.981103	0.349916	0.552428	0.184914	0.131867	0.451172	0.143198	0.349777	0.196245	0.218229	0.162896	0.169658	0.207237	0.0155448	86.2	45.1	59.8773	13.65	65.65	29.0621	209.7	0.0236609	51996.9		32383	56691	44.8627334	136350	8.17420e-04	0.2197180
20.3	11.5	15.9	6.22254	28.5	0.962903	0.897308	0.0158237	0.0128127	0.930105	0.046383	0.954343	0.467465	0.733389	0.161219	0.153009	0.600427	0.188037	0.530252	0.385533	0.23092	0.112468	0.132225	0.308227	0.109328	47.3	15.7	16.5868	5.94512	31.5	22.3446	57.1	0.0568941	1008.02		7523	112715	85.2331874	80264	5.96111e-04	0.2548650
23.4	24.5	23.95	0.777817	43.5	0.97621	0.965	0.013299	0.0200176	0.970605	0.00792644	0.980243	0.249109	0.302304	0.0766591	0.191362	0.275707	0.0376147	0.358298	0.197225	0.200651	0.0693107	0.0501668	0.198938	0.00242251	103.1	106.8	40.4103	55.0067	104.95	2.6163	130.4	0.0207215	1417.8		10199	103414	85.5410667	146603	2.72052e-04	0.2187577
22.4	23.8	23.1	0.989949	43	0.974597	0.968462	0.00755563	0.0104888	0.971529	0.00433827	0.982473	0.151819	0.255098	0.0562782	0.240411	0.203458	0.0730292	0.254958	0.135184	0.144461	0.0547803	0.0639244	0.139823	0.00655991	168.7	133.3	73.1103	62.4376	151	25.0316	189	0.0226951	2702.21		19230	185067	12.2069921	105784	1.79963e-04	0.2579330
14.2	16.3	15.25	1.48492	29.5	0.922782	0.931667	0.0205836	0.0191408	0.927224	0.00628223	0.962676	0.583201	0.66357	0.215675	0.185986	0.623386	0.0568299	0.428234	0.214461	0.230193	0.115011	0.0953718	0.222327	0.0111241	28.9	26	18.089	10.1105	27.45	2.05061	89.3	0.0699528	5780.86		12889	19163	5.8213445	218767	6.75038e-04	0.2679454
20.7	12.5	16.6	5.79828	31.3	0.964113	0.902692	0.013299	0.0262147	0.933403	0.0434309	0.959585	0.226124	0.332299	0.0957419	0.317583	0.279212	0.0750775	0.294839	0.200424	0.117172	0.0872304	0.0502232	0.158798	0.0588678	106.7	62.9	43.1201	37.1617	84.8	30.9713	118.9	0.0599403	2090.59		64466	13810	57.4916898	54877	8.85404e-04	0.2272206
9.4	9.7	9.55	0.212132	17.2	0.842944	0.847949	0.0569253	0.0512934	0.845446	0.00353919	0.912089	0.580271	0.740212	0.299261	0.242733	0.660242	0.113095	0.574487	0.330277	0.35249	0.176072	0.202709	0.341383	0.0157067	23.5	16.2	19.7048	15.4258	19.85	5.16188	33.6	0.135454	344.342		168039	157843	94.6613554	89948	6.34769e-04	0.2812332
15.1	24.5	19.8	6.6468	35.7	0.926613	0.971282	0.0372023	0.00831304	0.948947	0.0315859	0.971166	0.570476	0.321974	0.351685	0.175068	0.446225	0.175717	0.35489	0.14805	0.254013	0.071673	0.139616	0.201032	0.0749273	62.6	113.7	78.8348	87.8143	88.15	36.1332	129.2	0.0396361	2675.87		144147	52788	5.5410950	208608	9.59700e-04	0.2156173
21.3	26.3	23.8	3.53553	43.6	0.970565	0.975256	0.00706125	0.00678532	0.97291	0.00331767	0.982903	0.144845	0.231159	0.0528085	0.12188	0.188002	0.0610331	0.217929	0.105784	0.133287	0.0209936	0.0359004	0.119535	0.0194478	167.3	141.8	72.2435	64.7951	154.55	18.0312	209.7	0.0195632	9135.69		13046	133614	1.6568991	217576	7.40735e-04	0.2829806
20.3	19.7	20	0.424264	38.2	0.964315	0.952179	0.0088674	0.0175895	0.958247	0.00858076	0.976878	0.37083	0.61578	0.19168	0.166213	0.493305	0.173206	0.389328	0.212805	0.206986	0.120665	0.120721	0.209896	0.00411499	76.8	35.4	52.1532	20.2715	56.1	29.2742	129.7	0.0387378	12015.6		164468	18672	70.8255487	96051	6.60000e-04	0.1322061
17.7	20.8	19.25	2.19203	36.4	0.951008	0.956538	0.022209	0.0142051	0.953773	0.00391058	0.974374	0.513813	0.597154	0.207369	0.204489	0.555484	0.0589304	0.415118	0.205038	0.248528	0.110248	0.133068	0.226783	0.0307526	44.9	40.7	37.696	24.1939	42.8	2.96985	121.8	0.0407262	14140.8		151718	49679	61.6788181	151822	6.86290e-04	0.2290136
19.7	22.2	20.95	1.76777	40.9	0.966935	0.963333	0.00631863	0.00914969	0.965134	0.00254711	0.981182	0.395169	0.434341	0.240153	0.253486	0.414755	0.027699	0.284124	0.13673	0.156556	0.0577471	0.0748507	0.146643	0.014019	87	91.2	75.7731	108.937	89.1	2.96985	171.1	0.0325403	4841.32		10839	157411	46.1566882	33855	6.26715e-04	0.2226164
14.5	15.2	14.85	0.494975	28.4	0.933266	0.927308	0.0228188	0.0294162	0.930287	0.00421325	0.962559	0.684751	0.700568	0.116714	0.180493	0.692659	0.0111844	0.597035	0.302816	0.329495	0.0702314	0.122728	0.316156	0.0188645	20.8	22	5.22388	7.07107	21.4	0.848528	50.2	0.0654453	1008.75		105852	85616	90.8839402	84869	6.82401e-04	0.1347891
23.9	14.5	19.2	6.6468	35.9	0.977218	0.918974	0.00936289	0.0290397	0.948096	0.0411843	0.966745	0.23986	0.62881	0.0764938	0.177286	0.434335	0.275029	0.324403	0.220415	0.131709	0.0817183	0.0554146	0.176062	0.0627246	107.8	26.4	34.4603	19.7945	67.1	57.5585	120.1	0.0443891	2188.58		193485	194216	38.7197787	192025	3.15070e-04	0.1955802
9	6.1	7.55	2.05061	14.2	0.84254	0.719231	0.0476198	0.0933465	0.780886	0.087193	0.880125	0.765808	0.763069	0.194056	0.180356	0.764438	0.00193632	0.471985	0.301073	0.215931	0.151478	0.129609	0.258502	0.0602045	12.1	7.5	6.20842	3.17105	9.8	3.25269	37.3	0.215236	1327.45		16342	14886	45.1891562	27524	5.33221e-04	0.1455205
16.7	15.9	16.3	0.565685	30.6	0.94375	0.932949	0.0184157	0.0217071	0.938349	0.00763766	0.964945	0.336027	0.25609	0.193472	0.20395	0.296058	0.0565239	0.301112	0.166844	0.159914	0.0999644	0.0986628	0.163379	0.00490086	74.4	99.2	55.5062	66.5312	86.8	17.5362	123.8	0.0547753	3817.37		116517	10728	32.7668548	229131	7.33080e-04	0.2962211
18.8	21.2	20	1.69706	38.7	0.960081	0.954615	0.011397	0.0108987	0.957348	0.00386452	0.976604	0.231787	0.272233	0.191374	0.223044	0.25201	0.0286	0.203474	0.101331	0.110532	0.0620456	0.0607514	0.105931	0.00650613	202.6	156.5	247.35	140.21	179.55	32.5976	300.8	0.0392281	20937.9		75490	58631	35.4806325	202577	2.52034e-04	0.2562554
20.4	12.9	16.65	5.3033	29	0.966532	0.897436	0.0124355	0.0349801	0.931984	0.0488585	0.950822	0.324435	0.614292	0.127434	0.228996	0.469363	0.20496	0.414631	0.294168	0.189572	0.133236	0.112549	0.24187	0.0739604	73.3	26.6	33.7048	21.1776	49.95	33.0219	83.6	0.0467374	2151.97		122174	18829	28.0842407	86680	6.55238e-04	0.1468054
9.6	14.8	12.2	3.67696	24	0.84879	0.920385	0.0481157	0.020499	0.884587	0.0506248	0.944366	0.66644	0.719567	0.190744	0.291218	0.693004	0.037567	0.342509	0.144135	0.21319	0.0982823	0.124369	0.178662	0.0488292	14.4	29.3	4.35125	27.536	21.85	10.5359	89.5	0.111215	6028.07		166746	149682	64.1108342	181826	8.50983e-04	0.1789238
18.3	11.9	15.1	4.52548	28.9	0.953024	0.876667	0.0147253	0.0366915	0.914845	0.0539929	0.948983	0.552956	0.786593	0.220235	0.179965	0.669774	0.165206	0.519107	0.3331	0.227002	0.161691	0.133778	0.280051	0.0750232	45.4	15.2	43.912	5.9963	30.3	21.3546	71.2	0.0778649	2134.3		115772	141089	92.0429384	184637	8.74211e-04	0.2340655
25	27.7	26.35	1.90919	50.2	0.983266	0.979615	0.00760627	0.00514421	0.981441	0.00258147	0.988615	0.117331	0.150098	0.0729005	0.0968073	0.133715	0.0231695	0.188562	0.0943316	0.105567	0.0381001	0.0471172	0.0999494	0.00794475	283.4	242.1	148.097	131.175	262.75	29.2035	308	0.0148023	7649.6		53658	152208	43.2263670	176263	8.83388e-04	0.2607924
17.6	18.8	18.2	0.848528	33.5	0.947177	0.945385	0.0267098	0.0242591	0.946281	0.0012677	0.969327	0.37097	0.459773	0.123667	0.222694	0.415371	0.0627929	0.403014	0.214581	0.233192	0.118144	0.118427	0.223887	0.01316	52.4	59.3	22.9163	54.3426	55.85	4.87904	105.7	0.0465785	5204.99		580	87122	14.7110666	167806	6.84239e-04	0.1826170
6.7	11.9	9.3	3.67696	16.7	0.775202	0.890897	0.0705501	0.0289935	0.83305	0.0818093	0.911033	0.961616	0.700648	0.065773	0.249887	0.831132	0.184532	0.596553	0.238088	0.463425	0.0929518	0.247248	0.350757	0.159337	6.1	20.1	2.55821	13.6337	13.1	9.89949	33.7	0.145107	711.524		68125	43903	33.0064366	180278	9.17121e-04	0.2688695
20.4	13.8	17.1	4.6669	32.3	0.966532	0.904615	0.0102451	0.025961	0.935574	0.0437818	0.962011	0.369578	0.604565	0.170264	0.259541	0.487072	0.166161	0.381238	0.240732	0.1652	0.0737207	0.0602849	0.202966	0.053409	70.6	29	40.6453	21.0713	49.8	29.4156	91.3	0.0603461	1474.9		179859	75252	15.3634126	192025	2.35886e-04	0.2622059
21.7	14	17.85	5.44472	33	0.973387	0.902436	0.0066393	0.0543675	0.937911	0.0501701	0.961111	0.29866	0.708397	0.139868	0.177395	0.503529	0.289728	0.369416	0.251082	0.160076	0.125739	0.0841041	0.205579	0.0643512	92.1	20	52.4393	8.01388	56.05	50.9824	105.8	0.0550682	1968.33		191939	164308	62.1000693	172446	1.33138e-04	0.2798919
20.1	22.4	21.25	1.62635	41.1	0.967742	0.96359	0.0093121	0.0130352	0.965666	0.00293604	0.981338	0.33781	0.316414	0.16539	0.215805	0.327112	0.0151294	0.241718	0.117615	0.132706	0.040655	0.0528118	0.125161	0.0106707	88.8	114.4	77.0192	79.7443	101.6	18.1019	188.1	0.0318585	8923.69		195742	188367	14.5862656	187010	2.26069e-04	0.2511683
21.4	27.7	24.55	4.45477	46.2	0.970565	0.977436	0.0104199	0.0101706	0.974	0.0048588	0.983998	0.336204	0.339287	0.134729	0.19324	0.337746	0.00217958	0.30921	0.146537	0.187909	0.0778453	0.0967299	0.167223	0.0292543	76.2	130.8	41.4804	111.993	103.5	38.608	183.1	0.0193052	6297.33		88251	78371	76.3720278	157894	4.29600e-04	0.2545167
10.2	10.2	10.2	0	20.1	0.884476	0.858974	0.0330881	0.037231	0.871725	0.0180322	0.932981	0.520768	0.623228	0.302623	0.30487	0.571998	0.0724501	0.355148	0.179365	0.183267	0.114477	0.118977	0.181316	0.00275936	34.5	34.3	35.2397	46.7833	34.4	0.141421	76.1	0.125797	2570.26		67022	91593	59.4775699	227215	5.91421e-04	0.1046792
13	13.2	13.1	0.141421	24.4	0.913508	0.905641	0.0316282	0.0277561	0.909575	0.00556284	0.950117	0.69304	0.712451	0.166706	0.168418	0.702746	0.0137251	0.61478	0.339634	0.333541	0.145468	0.114139	0.336588	0.00430856	19.1	19.4	7.24875	10.5536	19.25	0.212132	47.1	0.0826016	1502.21		87045	151464	8.4430972	84647	7.05412e-04	0.2921549
14.7	14.1	14.4	0.424264	27.6	0.927823	0.911154	0.0240212	0.038604	0.919488	0.0117866	0.955986	0.553479	0.580681	0.265793	0.234511	0.56708	0.0192345	0.516684	0.276383	0.26213	0.105182	0.10296	0.269257	0.0100782	37.4	32.5	29.568	28.7991	34.95	3.46482	58.6	0.0752864	892.561		138356	65290	61.5185038	185236	5.78984e-04	0.1229179
8.4	16	12.2	5.37401	23	0.78871	0.926923	0.120466	0.0225567	0.857816	0.0977316	0.930556	0.830411	0.525771	0.105031	0.329181	0.678091	0.215413	0.36856	0.150828	0.263463	0.124017	0.169444	0.207146	0.0796454	9.3	55.7	2.66875	54.6708	32.5	32.8098	86.7	0.130105	5166.71		72660	122209	67.1666826	150186	3.41627e-04	0.2753142
17.2	3.3	10.25	9.82878	19	0.950403	0.522564	0.0187016	0.168282	0.736484	0.302528	0.830243	0.560533	0.963333	0.117253	0.0776984	0.761933	0.284823	0.570546	0.523469	0.107793	0.120308	0.0537905	0.315631	0.293928	31.4	2.5	11.0675	1.17851	16.95	20.4354	33.6	0.248971	144.082		15753	176532	62.4427226	122034	2.29694e-04	0.2769032
16.9	10	13.45	4.87904	23.7	0.950605	0.861154	0.00984262	0.0313866	0.905879	0.0632514	0.939241	0.652097	0.696199	0.148996	0.183538	0.674148	0.0311848	0.589068	0.441829	0.264675	0.202525	0.139152	0.353252	0.125267	26.8	15	9.41394	7.4087	20.9	8.34386	45.4	0.0785869	1039.69		81939	28494	29.1684217	224900	1.62692e-04	0.1380419
15.4	17.9	16.65	1.76777	32.3	0.93871	0.940769	0.0211923	0.0178957	0.939739	0.00145632	0.96784	0.54259	0.50865	0.272997	0.325075	0.52562	0.0239986	0.26182	0.125629	0.147191	0.101099	0.130829	0.13641	0.0152462	47.4	84.2	52.9469	92.2964	65.8	26.0215	179	0.0561183	18813.3		23968	126748	20.6385518	229480	2.10804e-04	0.2844460
22.6	27.7	25.15	3.60624	44.9	0.973589	0.976282	0.0130816	0.00991692	0.974935	0.00190448	0.983685	0.183007	0.20618	0.084238	0.0942434	0.194593	0.0163855	0.231028	0.116726	0.142117	0.0380593	0.0387466	0.129421	0.017954	148.2	170.1	66.7995	111.446	159.15	15.4856	216.8	0.0172994	2178.98		107341	73632	27.0249674	157613	5.06413e-04	0.1527012
9.7	8.5	9.1	0.848528	16.5	0.852419	0.838718	0.0344883	0.0370481	0.845569	0.00968836	0.914397	0.824543	0.804509	0.160256	0.107876	0.814526	0.0141662	0.732635	0.439154	0.385777	0.109554	0.119667	0.412465	0.0377433	11.3	9.8	3.335	3.08401	10.55	1.06066	21.8	0.141296	157.019		135539	111719	76.7185732	99797	5.01883e-04	0.1963412
13.7	19.5	16.6	4.10122	32	0.91754	0.951282	0.0377835	0.0166063	0.934411	0.023859	0.962989	0.580744	0.567434	0.13298	0.250251	0.574089	0.00941135	0.391219	0.171857	0.254273	0.0969486	0.165777	0.213065	0.0582769	23.8	52.5	7.98332	50.9995	38.15	20.294	107.3	0.0537779	8377.47		72699	38627	16.6165053	183914	8.46169e-04	0.1711629
14.3	15.3	14.8	0.707107	22.5	0.924597	0.919615	0.0311498	0.0329756	0.922106	0.00352237	0.943779	0.647746	0.745869	0.126476	0.158893	0.696808	0.0693832	0.747964	0.486697	0.526697	0.133445	0.197619	0.506697	0.0282841	22.3	21	8.16565	9.75249	21.65	0.919239	30.4	0.0454061	78.9806		180808	160296	55.0939954	64496	2.27788e-04	0.2500899
23.5	24.5	24	0.707107	44.3	0.976815	0.968718	0.00979663	0.0119077	0.972766	0.00572514	0.982942	0.259039	0.287328	0.11497	0.15523	0.273184	0.0200035	0.359411	0.195484	0.204245	0.0947719	0.104147	0.199865	0.00619518	116.1	112.5	70.1545	68.8948	114.3	2.54558	150.4	0.0213818	6866.07		84917	64823	5.6033646	30794	3.34532e-04	0.1537397
23.3	22	22.65	0.919239	41.9	0.978226	0.960769	0.00643198	0.0132713	0.969498	0.0123437	0.980712	0.139869	0.150199	0.0724247	0.105819	0.145034	0.007304	0.195924	0.11079	0.103719	0.0610661	0.0533803	0.107254	0.00499952	236.5	248.6	172.63	177.253	242.55	8.55599	285.6	0.0245607	6993.19		87466	160940	84.3706205	101319	1.98862e-04	0.2573537
13.2	18.6	15.9	3.81838	29.3	0.920363	0.948077	0.0244766	0.00967456	0.93422	0.0195968	0.963889	0.686236	0.696048	0.153474	0.167005	0.691142	0.00693829	0.466285	0.236456	0.306478	0.174971	0.192219	0.271467	0.0495124	19.5	28.3	7.48703	13.3504	23.9	6.22254	90.5	0.0565416	8548.48		102727	177125	71.6549148	231573	6.41967e-04	0.2576581
19.6	16.2	17.9	2.40416	31.7	0.959274	0.927564	0.0171285	0.0224451	0.943419	0.0224224	0.961307	0.364889	0.504407	0.253176	0.287438	0.434648	0.0986535	0.343892	0.223028	0.168147	0.180351	0.116167	0.195587	0.0388063	97.4	48.7	87.5103	36.4937	73.05	34.4361	152.4	0.0401018	15048.7		196106	121643	59.1191556	51116	7.71815e-04	0.1638417
15.5	28.8	22.15	9.40452	43.7	0.940121	0.979744	0.0188424	0.00639028	0.959932	0.0280174	0.981808	0.346346	0.0704508	0.305399	0.0286562	0.208399	0.195088	0.102517	0.035811	0.0684405	0.0143184	0.0292416	0.0521258	0.0230725	187.7	485.2	237.176	220.255	336.45	210.364	504.2	0.0391078	12481.5		153205	159144	57.7663167	65624	6.83389e-04	0.2708833
14.6	20.9	17.75	4.45477	34.3	0.929435	0.951026	0.0187691	0.0198504	0.940231	0.0152665	0.969914	0.666384	0.373106	0.163716	0.248921	0.519745	0.207379	0.325606	0.144075	0.202632	0.102197	0.143388	0.173354	0.0414058	22.6	111.9	7.98888	114.708	67.25	63.1446	160.1	0.0569086	23711.5		97086	146401	52.4204174	234469	5.31593e-04	0.2329603
16.6	23.1	19.85	4.59619	37.6	0.94496	0.966026	0.020363	0.00898961	0.955493	0.0148959	0.975352	0.426947	0.225604	0.284025	0.147075	0.326275	0.142371	0.257066	0.114372	0.162983	0.0659119	0.0999637	0.138677	0.0343732	83.4	144.7	117.536	88.0506	114.05	43.3456	193.2	0.0374798	8796.49		150047	158414	84.1872256	216038	7.57224e-04	0.2316493
19.1	23.1	21.1	2.82843	41.4	0.959274	0.963333	0.0151113	0.0135572	0.961304	0.00287025	0.980399	0.356923	0.247349	0.194519	0.123617	0.302136	0.0774802	0.269667	0.130268	0.148246	0.0675219	0.0567302	0.139257	0.0127124	88.9	123.4	80.1934	77.4829	106.15	24.3952	176	0.0376978	4910.95		100286	151056	60.1623642	36251	9.63844e-04	0.2019738
17.5	23.4	20.45	4.17193	39.9	0.947379	0.969231	0.0221764	0.00699603	0.958305	0.0154515	0.979069	0.582984	0.302185	0.107448	0.203486	0.442584	0.198555	0.217106	0.102083	0.130799	0.107187	0.125348	0.116441	0.0203059	30	158.5	8.17856	156.025	94.25	90.8632	305.3	0.0390272	65818.3		118021	21763	22.3839520	108326	5.74596e-04	0.1575140
17.8	19.7	18.75	1.3435	34.1	0.952016	0.947821	0.0231986	0.0198895	0.949918	0.00296675	0.970462	0.425781	0.555497	0.0933578	0.128561	0.490639	0.0917233	0.437706	0.237969	0.265193	0.121395	0.126971	0.251581	0.0192505	42.9	36.9	14.6852	12.2515	39.9	4.24264	96.7	0.0418705	6320.88		53127	138515	79.9643722	53116	5.91585e-04	0.2191579
22.3	15.4	18.85	4.87904	34.1	0.970968	0.92359	0.0209996	0.0353499	0.947279	0.0335013	0.966197	0.267836	0.654922	0.10606	0.248252	0.461379	0.273711	0.369283	0.239838	0.178957	0.0961555	0.113167	0.209397	0.0430493	98.6	33	48.9517	33.28	65.8	46.3862	110.9	0.0437193	1877.56		103765	129052	96.2752474	248791	6.48056e-04	0.1903199
12.7	15.4	14.05	1.90919	26.6	0.902823	0.924744	0.0533401	0.018765	0.913783	0.0155005	0.954851	0.678481	0.451768	0.176168	0.252426	0.565125	0.160311	0.478233	0.231106	0.281455	0.111892	0.138938	0.25628	0.035602	19.3	44.6	8.61588	27.4234	31.95	17.8898	63.8	0.0799431	1008.89		57188	151671	28.4058179	174965	9.62448e-04	0.1184633
16.5	17.1	16.8	0.424264	31.6	0.94254	0.939359	0.015653	0.023337	0.94095	0.00224955	0.965689	0.447016	0.582063	0.199094	0.260644	0.51454	0.0954926	0.352682	0.188052	0.20543	0.106179	0.175496	0.196741	0.0122881	47.3	43.5	30.9589	47.0844	45.4	2.68701	111	0.0502393	6105.18		39757	174442	38.4321162	74682	6.29872e-04	0.1917783
17.9	14.7	16.3	2.26274	29.8	0.954637	0.91641	0.0121805	0.0330295	0.935524	0.0270305	0.959742	0.165778	0.156413	0.0765912	0.0836145	0.161096	0.00662268	0.233957	0.142179	0.11357	0.0585501	0.0398983	0.127875	0.0202295	128.4	128.2	61.0632	82.7282	128.3	0.141421	146.2	0.0534677	753.501		10881	14789	99.5998374	126848	6.70913e-04	0.1104840
17	5	11	8.48528	19.9	0.943145	0.607179	0.0125296	0.133569	0.775162	0.237564	0.858294	0.610519	0.842143	0.197729	0.106974	0.726331	0.163782	0.675947	0.580304	0.175696	0.164921	0.0837045	0.378	0.286101	29.5	5	9.72111	1.49071	17.25	17.3241	30.5	0.212787	77.1885		67232	168034	76.9146339	144143	3.89823e-04	0.1055896
5.7	9.4	7.55	2.6163	13.9	0.726008	0.841026	0.100355	0.0409142	0.783517	0.0813297	0.892332	0.85877	0.85103	0.153837	0.107452	0.8549	0.00547323	0.571179	0.246696	0.420637	0.163933	0.271276	0.333667	0.122995	5.9	10.3	2.60128	3.59166	8.1	3.11127	30.8	0.205345	827.772		75905	198376	50.8028869	64452	9.01706e-04	0.2275864
14.4	29.9	22.15	10.9602	41.8	0.925403	0.983077	0.0233771	0.00704286	0.95424	0.0407815	0.977582	0.401801	0.113958	0.326305	0.0278513	0.25788	0.203536	0.152075	0.052754	0.10928	0.016945	0.0314926	0.0810171	0.03997	102.3	276.9	123.846	78.329	189.6	123.461	297.5	0.0401279	15600.3		92025	125844	37.0960903	110674	5.15134e-04	0.2001869
22.9	13	17.95	7.00036	35.3	0.973589	0.898077	0.00989753	0.0337431	0.935833	0.0533949	0.962559	0.313036	0.719095	0.138986	0.206247	0.516066	0.287127	0.290731	0.191482	0.105295	0.0673055	0.0314952	0.148389	0.0609439	92.4	19.3	57.6969	10.067	55.85	51.6895	133.3	0.06239	6478.47		91241	103331	11.2463087	198498	7.62394e-04	0.1949817
21.4	8.6	15	9.05097	27.5	0.968145	0.830769	0.0170227	0.049162	0.899457	0.0971395	0.935563	0.400534	0.797967	0.140578	0.167793	0.59925	0.281028	0.392961	0.310688	0.126625	0.129148	0.0623879	0.218657	0.130152	61.2	10.7	30.4259	5.10011	35.95	35.7089	77.3	0.0896229	1705.31		190352	85093	92.3309851	85771	8.22643e-04	0.2036515
7.9	25.1	16.5	12.1622	32.7	0.8125	0.973846	0.0623734	0.00598901	0.893173	0.114089	0.95356	0.794184	0.344671	0.165805	0.190324	0.569427	0.317854	0.300604	0.0761231	0.229698	0.0543981	0.138912	0.152911	0.108594	9.3	114.4	2.90784	92.0896	61.85	74.3169	154	0.10171	7275.59		43392	105388	13.7193346	202166	1.93462e-04	0.2942038
23.4	22.6	23	0.565685	44	0.975605	0.961282	0.00908875	0.0114479	0.968443	0.0101277	0.981064	0.212859	0.236747	0.179687	0.221079	0.224803	0.0168912	0.196458	0.104974	0.101676	0.0384861	0.038944	0.103325	0.0023319	183.7	162.4	116.554	93.9908	173.05	15.0614	245.8	0.0269858	5234.16		198349	131344	38.7397620	228222	2.84728e-04	0.1914683
15	14.7	14.85	0.212132	27.2	0.921573	0.923718	0.02256	0.0110493	0.922645	0.001517	0.957277	0.493587	0.372347	0.284654	0.284301	0.432967	0.0857296	0.349877	0.194194	0.196416	0.0925075	0.113639	0.195305	0.00157162	49.9	70.2	43.6462	56.2411	60.05	14.3543	102.8	0.0694887	3598.42		127313	136426	75.9799303	162960	5.36334e-04	0.1227675
3.6	16.5	10.05	9.12168	19.6	0.487702	0.918974	0.196573	0.0348693	0.703338	0.304956	0.87054	0.854762	0.539236	0.155604	0.296063	0.696999	0.223111	0.303506	0.0641528	0.257872	0.0504541	0.133485	0.161012	0.13698	3.4	55.4	1.57762	55.7797	29.4	36.7696	83	0.281113	2603.48		101480	125787	15.0269445	188327	6.84750e-04	0.1232181
16.3	21.5	18.9	3.67696	36	0.941734	0.957308	0.024071	0.0167055	0.949521	0.0110124	0.972692	0.298669	0.209946	0.2385	0.160036	0.254307	0.0627368	0.270481	0.123162	0.162562	0.0683547	0.0965079	0.142862	0.0278602	101.5	141.3	98.793	78.4772	121.4	28.1428	170.5	0.0447203	5946.47		167185	161844	70.3012940	245886	4.83112e-04	0.1702014
20.5	24.1	22.3	2.54558	40.4	0.966331	0.967308	0.00901891	0.0106966	0.966819	0.000690877	0.978443	0.365885	0.360045	0.146531	0.129187	0.362965	0.00412951	0.335319	0.17127	0.204849	0.0676131	0.0908457	0.188059	0.023744	67.6	80.4	39.1584	51.498	74	9.05097	135.3	0.0233335	5444.1		7337	144561	60.4582995	161072	9.73080e-04	0.1866885
7.4	20.8	14.1	9.47523	25.9	0.795968	0.950513	0.0539546	0.0165865	0.87324	0.10928	0.935211	0.830226	0.245079	0.164221	0.180303	0.537653	0.413761	0.220304	0.0613452	0.176403	0.0253644	0.0816394	0.118874	0.0813583	8.4	131.2	3.3731	93.9797	69.8	86.8327	146	0.107382	3223.71		409	155599	86.9272312	195491	9.06363e-04	0.1694845
19.3	22.1	20.7	1.9799	40.5	0.959677	0.962564	0.0151769	0.00828222	0.961121	0.00204119	0.980203	0.416497	0.207528	0.193065	0.124016	0.312012	0.147763	0.272925	0.13351	0.146008	0.0587203	0.045331	0.139759	0.00883778	67	137.1	59.127	71.4228	102.05	49.5682	166.4	0.0378118	7411.97		198756	165453	36.6294487	111956	2.09243e-04	0.2239806
18.6	8.1	13.35	7.42462	25.2	0.956653	0.824231	0.0122175	0.0727261	0.890442	0.0936368	0.934507	0.613537	0.834699	0.178963	0.177082	0.724118	0.156385	0.567864	0.423133	0.202491	0.169419	0.142398	0.312812	0.156018	32.4	9.1	12.1674	3.28126	20.75	16.4756	49.8	0.104569	1039.49		127848	28607	72.2226872	236856	8.59976e-04	0.1903859
20.8	23.9	22.35	2.19203	42.6	0.966331	0.963846	0.0107548	0.0141194	0.965088	0.0017568	0.980477	0.388514	0.403907	0.168174	0.174461	0.39621	0.0108848	0.331495	0.162953	0.187763	0.0671149	0.0762748	0.175358	0.0175433	73.4	77.9	62.966	58.6031	75.65	3.18198	150.2	0.031139	9528.28		96461	98831	92.2168828	144776	8.35586e-04	0.2340807
