K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	GEOM	MIG21
16.2	24.2	20.2	5.65685	34.1	0.939315	0.966282	0.0196496	0.0134741	0.952798	0.0190689	0.970618	0.269024	0.295664	0.196621	0.2206	0.282344	0.0188376	0.345675	0.177266	0.248465	0.129767	0.157019	0.212865	0.0503453	99.2	138.9	65.9845	118.258	119.05	28.0721	147.2	0.0329402	1200.36		25459	25920	98.7367944	0.4694088	88822	227789	4.18046e-04	0.1424920	1.81099e-05
2.3	1.6	1.95	0.494975	2.3	0.24375	0.153077	0.178684	0.193988	0.198413	0.0641155	0.22783	0.916667	0.933333	0.176777	0.149071	0.925	0.0117851	0.925	0.925	0.7	0.168737	0.338388	0.8125	0.159099	1.77778	1.4	0.833333	0.547723	1.58889	0.267129	1.6	0.10881	0.0394687		60312	17529	33.5915189	4.6401700	119259	195317	2.69753e-04	0.2693101	2.64714e-04
17.8	19.7	18.75	1.3435	27	0.953427	0.951795	0.0128727	0.0148556	0.952611	0.00115439	0.958294	0.52646	0.544201	0.245112	0.163932	0.53533	0.0125442	0.638746	0.435328	0.478558	0.146318	0.164978	0.456943	0.0305686	45.5	42.5	35.9884	29.632	44	2.12132	49.7	0.0119648	32.4474		30163	39866	10.2487442	5.6067393	39798	206967	3.20336e-04	0.1007390	1.40640e-04
23.1	22.1	22.6	0.707107	37.3	0.975605	0.960897	0.0100784	0.0168817	0.968251	0.0103997	0.97277	0.264354	0.393939	0.143582	0.147164	0.329146	0.0916301	0.394958	0.262066	0.241255	0.144722	0.111999	0.251661	0.0147157	105.2	66.9	42.0656	36.8675	86.05	27.0822	106.8	0.0109412	365.736		174253	81885	71.7507298	4.0369317	95245	142451	7.37685e-04	0.1321766	4.93000e-05
10.7	6.7	8.7	2.82843	12.6	0.874194	0.717308	0.0685036	0.0753768	0.795751	0.110935	0.837285	0.749873	0.768883	0.1686	0.107474	0.759378	0.0134421	0.817455	0.717965	0.445514	0.185668	0.11297	0.581739	0.192652	14.3	8.2	5.75519	4.07704	11.25	4.31335	15.2	0.113607	11.7991		39300	120018	56.9149644	1.3253174	73531	218149	1.93996e-04	0.2306960	1.10427e-05
11.4	30.5	20.95	13.5057	39.9	0.883669	0.985128	0.0426316	0.00419588	0.934399	0.0717422	0.970462	0.305468	0.0824618	0.305302	0.0321694	0.193965	0.157689	0.107306	0.0308405	0.0817292	0.0127117	0.0313448	0.0562849	0.0359838	138.5	435.3	169.796	204.344	286.9	209.869	437	0.0603977	21903.3		118886	141255	48.6062472	7.7492077	26709	189426	7.26629e-04	0.1980141	5.48597e-05
9.3	12.8	11.05	2.47487	16.5	0.861089	0.900385	0.0444713	0.0238403	0.880737	0.0277864	0.910446	0.569924	0.723806	0.203251	0.143917	0.646865	0.108811	0.748421	0.425156	0.609649	0.120169	0.205768	0.517402	0.130456	18.8	17.7	11.6886	6.86456	18.25	0.777817	23.3	0.0584778	114.219		151445	32022	18.9668188	6.2430160	35113	76929	4.32653e-04	0.2931957	1.94960e-04
10.2	10.7	10.45	0.353553	13.1	0.864113	0.864744	0.0658822	0.0414563	0.864428	0.000445963	0.874061	0.760501	0.875132	0.115738	0.126502	0.817816	0.0810569	0.898669	0.690271	0.735642	0.11577	0.136737	0.712956	0.0320821	12.6	11.5	3.97772	3.30824	12.05	0.777817	13.8	0.0216873	1.55768		186619	77553	47.8649076	5.7794271	40472	120196	1.97219e-04	0.2295467	7.45223e-05
24.5	22.4	23.45	1.48492	38.3	0.98004	0.960256	0.00857744	0.0110947	0.970148	0.0139893	0.97457	0.141103	0.338604	0.0693368	0.259897	0.239853	0.139654	0.218554	0.13981	0.124077	0.0694832	0.0568761	0.131944	0.0111245	236.9	107.2	173.589	71.1521	172.05	91.7117	239.6	0.0113113	3231.88		98642	125860	97.8436960	1.7922418	71071	107726	2.35266e-04	0.2320649	1.42400e-05
22.3	24.6	23.45	1.62635	37.5	0.97379	0.968333	0.00800832	0.00946077	0.971062	0.00385867	0.974296	0.157748	0.223411	0.0945383	0.215584	0.190579	0.0464307	0.235049	0.144342	0.153533	0.0893087	0.0779301	0.148938	0.00649886	191.7	179.9	114.65	110.745	185.8	8.34386	205	0.007241	1423.32		88420	188384	37.2401179	6.9361060	68487	234274	6.70672e-04	0.2810446	3.68190e-05
