S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	MIG21
46	34	16	4	40	8.48528	50	0.706696	-0.98328	-0.138292	1.19499	16.4762	6.56923	11.5227	7.00528	0.239998	14.5769		369	22788	12.7139285	2.5148144	48017	151967	1.36587e-07	1.10357e-04
5	5	1	1	5	0	6	0.261974	1.5316	0.896787	0.897761	1.65714	2.01846	1.8378	0.255491	0.0858972	2.02051		45890	36898	26.6886102	7.3236750	102498	438931	1.42767e-07	1.98484e-04
19	39	2	22	29	14.1421	41	-0.502296	-0.34493	-0.423613	0.111275	5.12381	9.28615	7.20498	2.94322	0.0619171	7.77949		33314	29829	27.9812973	5.5235592	34708	381105	1.62888e-07	1.85174e-04
15	12	6	3	13.5	2.12132	18	0.474875	-0.128582	0.173147	0.426709	5.1619	3.02462	4.09326	1.51129	0.0811958	4.39744		14092	3696	70.4000534	9.1918839	78218	273420	1.32302e-07	0.0024870
131	50	94	13	90.5	57.2756	144	-1.6193	-0.798314	-1.20881	0.580527	25.4667	10.3662	17.9164	10.6777	0.126766	19.9897		7964	17223	28.2358635	6.7190807	86500	236349	1.26128e-07	3.90123e-04
9	8	3	2	8.5	0.707107	11	0.32733	1.01819	0.672761	0.488512	3.00952	2.77538	2.89245	0.165561	0.0423066	3.01538		41542	6465	41.5770644	6.6070820	20578	428470	1.41793e-07	0.0010220
2	28	2	28	15	18.3848	30	1.76883	-0.378919	0.694954	1.51869	1.02857	6.58462	3.80659	3.92872	0.509041	8.64615		48544	8988	16.7971642	1.5303698	16714	364215	1.63998e-07	1.70268e-04
295	29	273	7	162	188.09	302	-2.29261	-0.0732823	-1.18294	1.5693	43.8381	7.44923	25.6437	25.7308	0.035128	25.8641		38478	32126	94.7463136	9.8356122	107233	499970	1.01354e-07	3.06157e-04
546	458	118	30	502	62.2254	576	1.79647	1.38421	1.59034	0.291509	235.724	161.689	198.707	52.3504	0.01799	201.085		38471	32712	67.7670534	5.4110062	24105	130209	9.34685e-08	1.65413e-04
119	130	3	14	124.5	7.77817	133	2.97533	-0.570242	1.20255	2.5071	61.3714	29.1292	45.2503	22.7987	0.22206	56.4026		29534	20519	0.7187291	8.4548956	88216	284232	1.19805e-07	4.12052e-04
26	32	7	13	29	4.24264	39	1.63719	-1.36429	0.136453	2.12237	11.1333	5.31692	8.22513	4.11282	0.3318	11.8179		24039	27577	61.0969013	4.9387200	17247	491768	9.75749e-08	1.79088e-04
37	18	27	8	27.5	13.435	45	-1.43401	-0.360922	-0.897465	0.758786	7.54286	4.23692	5.88989	2.33765	0.0858284	6.35128		10933	35217	58.6061219	8.4915926	111926	478326	1.30505e-07	2.41122e-04
505	45	479	19	275	325.269	524	3.24385	-0.205986	1.51893	2.4394	268.581	11.1538	139.867	182.028	0.569583	273.192		8422	1158	41.5484694	0.9593960	10277	283932	1.68460e-07	8.28494e-04
9	11	5	7	10	1.41421	16	-0.911262	-0.520948	-0.716105	0.275994	2.09524	2.43077	2.263	0.237256	0.0275598	2.33333		21449	42351	14.8858663	6.6786421	40019	57783	1.16133e-07	1.57697e-04
30	26	13	9	28	2.82843	39	0.622242	0.894588	0.758415	0.192577	10.5905	8.47385	9.53216	1.49668	0.103645	10.5692		2981	9261	85.6252101	8.9893280	5521	178042	1.61756e-07	9.70665e-04
109	25	101	17	67	59.397	126	2.0802	0.69566	1.38793	0.979014	49.4095	7.79692	28.6032	29.4246	0.550788	55.8769		37452	49538	36.7634691	6.8822643	122393	459316	1.36331e-07	1.38929e-04
27	22	16	11	24.5	3.53553	38	-1.57299	-0.742916	-1.15795	0.586949	5.18095	4.58154	4.88125	0.42385	0.0699486	5.23333		29544	5563	55.6452883	7.4856090	53178	54484	1.61970e-07	0.0013456
156	13	152	9	84.5	101.116	165	0.363789	0.0855514	0.22467	0.196744	51.9333	3.49231	27.7128	34.253	0.813499	118.095		5236	44542	36.9089259	6.4201436	49645	328279	1.26825e-07	1.44137e-04
2	8	0	6	5	4.24264	8	0.302127	-1.02141	-0.359644	0.935884	0.685714	1.41538	1.05055	0.515955	-0.013131	1.04615		26347	12799	57.4283543	3.7190449	124115	464921	1.21478e-07	2.90573e-04
13	23	2	12	18	7.07107	25	-1.0097	0.287693	-0.361006	0.917399	2.97143	6.50462	4.73802	2.49834	0.091728	5.31795		36279	33383	17.6851400	3.0326647	106278	30274	1.10079e-07	9.08446e-05
10	13	2	5	11.5	2.12132	15	0.43703	-0.231333	0.102848	0.472604	3.42857	3.17538	3.30198	0.17903	-0.0260516	3.21538		30415	15365	17.4639886	9.6055898	85461	308294	1.47943e-07	6.25160e-04
14	27	5	18	20.5	9.19239	32	-1.98238	-1.08011	-1.53124	0.638	2.15238	5	3.57619	2.01357	0.707602	13.2436		23146	24623	8.7920017	7.8030750	107981	451579	1.37648e-07	3.16902e-04
1	1	0	0	1	0	1	-0.398828	1.53323	0.567199	1.36617	0.247619	0.507692	0.377656	0.1839	0.296937	0.55641		9622	46320	37.0637265	2.9969560	86911	371968	1.12871e-07	6.47011e-05
155	68	106	19	111.5	61.5183	174	1.8584	0.76796	1.31318	0.771055	67.7524	21.3569	44.5547	32.8065	0.431267	72.7077		7265	15391	27.0685223	3.7126155	77556	249651	1.31841e-07	2.41220e-04
25	18	10	3	21.5	4.94975	28	0.766672	2.32224	1.54446	1.09996	9.10476	7.80615	8.45546	0.918255	-0.0180829	8.28974		21668	46977	96.2714930	9.5184435	78146	417514	1.00233e-07	2.02619e-04
322	16	311	5	169	216.375	327	2.2593	-0.946641	0.656329	2.26694	149.438	3.05846	76.2483	103.506	0.704756	206.862		1574	23318	95.6116641	1.9412015	91960	105408	9.03159e-08	8.32491e-05
44	49	20	25	46.5	3.53553	69	-1.02193	-0.817356	-0.919645	0.144658	10.3048	10.0923	10.1985	0.150228	0.060142	10.8462		28314	41513	92.6564981	8.4920640	78865	129480	1.03446e-07	2.04564e-04
190	30	167	7	110	113.137	197	-1.98397	-1.11416	-1.54906	0.61505	32.2095	5.50154	18.8555	18.8854	0.061257	19.4538		2810	33868	67.4000211	4.1498532	17338	227781	1.34535e-07	1.22530e-04
634	66	581	13	350	401.637	647	3.16936	-0.166488	1.50144	2.3588	333.819	16.5508	175.185	224.343	0.49153	296.692		34451	17005	63.8269824	6.4772155	21032	414892	9.45854e-08	3.80901e-04
38	37	16	15	37.5	0.707107	53	0.246053	0.471331	0.358692	0.159296	12.3619	10.9108	11.6363	1.02611	0.000899625	11.6256		38081	43821	55.4363636	2.9571997	11471	379707	1.02188e-07	6.74836e-05
29	46	15	32	37.5	12.0208	61	0.679661	0.494863	0.587262	0.130672	10.3619	13.6215	11.9917	2.30491	0.161288	14.4333		15213	5641	94.5836237	6.3479844	10733	385838	1.42052e-07	0.0011253
33	16	28	11	24.5	12.0208	44	-1.99916	-1.36258	-1.68087	0.450131	5.35238	2.56	3.95619	1.97451	0.0588263	4.13846		9347	40738	71.5800594	9.2430193	22163	495807	1.47809e-07	2.26889e-04
20	32	6	18	26	8.48528	38	-0.506385	-0.431415	-0.4689	0.0530119	5.39048	7.41538	6.40293	1.43183	0.0193367	6.5641		39427	6731	68.4336190	8.5638235	119957	384364	1.42592e-07	0.0012723
95	25	75	5	60	49.4975	100	1.99568	0.329599	1.16264	1.1781	42.5333	7.14154	24.8374	25.0258	0.463171	41.4487		19663	9913	85.2555536	4.2747464	14721	140292	1.62858e-07	4.31226e-04
11	14	3	6	12.5	2.12132	17	-0.946331	-0.705127	-0.825729	0.170557	2.55238	2.91692	2.73465	0.25777	-0.0328621	2.65128		38159	7825	12.1409902	4.3812138	56959	319163	8.03916e-08	5.59900e-04
8	6	4	2	7	1.41421	10	0.479852	0.521234	0.500543	0.0292614	2.78095	1.84923	2.31509	0.658827	0.173975	2.76154		25858	34134	63.0739482	3.3306353	42027	485831	1.52700e-07	9.75753e-05
1	0	1	0	0.5	0.707107	1	-1.15945	0	-0.579723	0.819852	0.133333	0	0.0666667	0.0942809	0.0387324	0.0666667		19059	43471	91.3868992	7.5925289	80058	207705	1.01375e-07	1.74657e-04
19	35	11	27	27	11.3137	46	-0.661859	-0.882937	-0.772398	0.156326	4.89524	7.01231	5.95377	1.49699	0.157279	7.15128		38843	13739	36.5623231	3.1059841	76563	110550	1.56076e-07	2.26071e-04
2	3	0	1	2.5	0.707107	3	0.13916	0.821107	0.480134	0.48221	0.647619	1.04923	0.848425	0.283982	0.0217524	0.874359		33357	15441	50.5241768	5.5105049	13478	49145	1.54790e-07	3.56875e-04
86	78	25	17	82	5.65685	103	1.11857	0.813048	0.965808	0.216035	33.219	24.7169	28.968	6.01191	0.162702	34.241		24636	37218	9.3161212	7.8059264	17498	435387	6.99770e-08	2.09735e-04
115	12	107	4	63.5	72.832	119	-0.91633	-0.375705	-0.646018	0.382279	27.9905	2.79385	15.3922	17.8167	0.142486	16.9949		25038	13503	52.3109015	1.8249923	63186	184457	7.53977e-08	1.35155e-04
6	6	2	2	6	0	8	-1.98306	-0.741478	-1.36227	0.877929	0.8	1.17846	0.989231	0.267613	-0.0173511	0.976923		29643	31602	56.3043793	4.3334684	121708	212957	8.88054e-08	1.37126e-04
24	29	23	28	26.5	3.53553	52	-0.0804084	0.227996	0.0737939	0.218075	7.2381	8.06769	7.65289	0.586614	0.457036	14.2051		3353	1209	58.6151781	9.5284982	112073	18880	1.42770e-07	0.0078813
411	16	400	5	213.5	279.307	416	2.38436	0.0315847	1.20797	1.66366	194.219	4.23077	99.2249	134.342	0.360497	137.308		2727	21679	28.4249399	7.1968381	71118	479465	1.07822e-07	3.31973e-04
22	13	17	8	17.5	6.36396	30	-0.490319	-1.55733	-1.02382	0.754488	5.9619	1.84923	3.90557	2.9081	0.172849	4.54103		26806	34208	3.8466604	2.8409948	107074	127458	8.27173e-08	8.30506e-05
1	1	0	0	1	0	1	0.742099	0.668964	0.705532	0.051714	0.419048	0.369231	0.394139	0.0352258	-0.0517849	0.374359		40567	21741	95.2936496	3.6427168	29272	278953	1.03899e-07	1.67551e-04
14	13	7	6	13.5	0.707107	20	-1.10557	0.365517	-0.370026	1.04022	3.10476	3.77231	3.43853	0.472026	0.0709436	3.71795		9011	5839	69.5297987	9.8841167	45578	243798	1.31218e-07	0.0016928
62	74	12	24	68	8.48528	86	0.255239	0.775989	0.515614	0.368226	20.1905	23.2708	21.7306	2.1781	0.0191399	22.2077		37028	49009	70.2790524	0.0429976	65626	120784	1.11249e-07	8.77342e-07
49	55	5	11	52	4.24264	60	-0.00629805	-0.925278	-0.465788	0.649817	15.0476	10.9385	12.993	2.90561	0.0156347	13.1308		28009	10682	66.3112128	7.1906000	113363	297672	9.83747e-08	6.73151e-04
19	20	5	6	19.5	0.707107	25	-0.555484	0.415964	-0.0697597	0.686918	5.04762	5.84923	5.44842	0.566825	0.00531622	5.48974		41130	11324	22.5573609	5.7011842	28332	328105	1.15440e-07	5.03460e-04
318	242	79	3	280	53.7401	321	1.73226	-1.67976	0.026249	2.41266	135.971	36.5723	86.2719	70.2858	0.301855	116.074		6728	13268	21.6596451	4.5520262	57588	140105	7.19911e-08	3.43083e-04
32	42	8	18	37	7.07107	50	-1.01907	-1.03721	-1.02814	0.0128269	7.46667	7.99385	7.73026	0.372772	0.122578	8.82821		45864	2193	29.0759214	0.0094289	93990	366779	1.51065e-07	4.29956e-06
17	30	7	20	23.5	9.19239	37	0.846582	-0.525892	0.160345	0.970486	6.32381	6.74769	6.53575	0.29973	0.0271059	6.72564		38949	22163	97.9439350	0.3151935	6172	463898	9.18115e-08	1.42216e-05
4	3	2	1	3.5	0.707107	5	-0.723923	0.945963	0.11102	1.18079	0.952381	1.08923	1.02081	0.0967674	-0.0121926	1.01026		11218	14904	89.4027579	0.8579614	38515	71215	1.41514e-07	5.75658e-05
18	15	8	5	16.5	2.12132	23	0.6339	0.479503	0.556701	0.109175	6.4	4.47385	5.43692	1.362	0.00221181	5.42051		33299	20797	94.0013281	4.3458898	57090	166712	1.43138e-07	2.08967e-04
184	10	177	3	97	123.037	187	0.427111	1.738	1.08255	0.926938	62.0571	4.01231	33.0347	41.0439	0.819516	145.026		11740	48449	18.8842584	7.3680651	100427	225093	1.21372e-07	1.52079e-04
18	7	14	3	12.5	7.77817	21	-1.39199	-0.262782	-0.827385	0.798468	3.6381	1.67692	2.65751	1.38676	0.0622445	2.78718		9186	36775	47.8665021	6.8223047	39086	205343	1.42864e-07	1.85515e-04
12	9	5	2	10.5	2.12132	14	0.185933	1.3939	0.789916	0.854162	3.86667	3.38154	3.6241	0.343037	0.165158	4.32051		46553	4210	84.6794991	5.4559977	32075	265166	1.38926e-07	0.0012960
13	11	10	8	12	1.41421	21	-1.21577	0.270113	-0.472829	1.05068	2.7619	3.11692	2.93941	0.251036	0.127664	3.38205		40931	44131	71.6225386	2.1649720	40631	430213	8.55757e-08	4.90578e-05
327	5	327	5	166	227.688	332	2.19701	1.42513	1.81107	0.545806	150.343	1.96923	76.156	104.916	0.706976	207.267		12203	42009	47.3485031	5.6482107	124826	169013	7.69229e-08	1.34452e-04
12	8	9	5	10	2.82843	17	-1.78459	-0.324626	-1.05461	1.03235	2	1.88	1.94	0.0848528	0.0543162	2.04872		7260	28479	29.5581379	0.9913734	106064	197123	1.36757e-07	3.48107e-05
13	7	10	4	10	4.24264	17	-0.316575	-0.863509	-0.590042	0.386741	3.67619	1.31692	2.49656	1.66825	0.164085	2.88718		2856	18243	38.8005173	4.7578402	34355	3746	1.13238e-07	2.60804e-04
723	26	703	6	374.5	492.853	729	2.99688	-0.847787	1.07455	2.71859	372.01	5.24	188.625	259.345	0.643548	430.485		5264	4068	25.4931230	2.0315883	62961	133124	1.35856e-07	4.99407e-04
8	13	1	6	10.5	3.53553	14	-0.48947	-0.966629	-0.728049	0.337402	2.13333	2.44	2.28667	0.216846	-0.0371288	2.20769		48520	42515	64.0800846	6.5595013	110478	116504	7.55530e-08	1.54287e-04
0	503	0	503	251.5	355.675	503	0	0.977292	0.488646	0.69105	0	164.108	82.0538	116.042	0.51289	195.192		44488	4286	0.5940308	2.4349530	8269	174576	1.13886e-07	5.68118e-04
28	6	24	2	17	15.5563	30	-0.139921	1.75499	0.807532	1.3399	8.32381	2.50462	5.41421	4.11479	0.373775	8.07179		41133	41973	9.7549654	1.3801271	57723	222063	1.30365e-07	3.28813e-05
2	1	1	0	1.5	0.707107	2	-1.00161	-1.15559	-1.0786	0.10888	0.380952	0.0769231	0.228938	0.214981	0.0193169	0.228205		19502	22539	54.8368619	3.4098848	3776	269952	1.27424e-07	1.51288e-04
49	45	15	11	47	2.82843	60	-0.879109	-0.0442448	-0.461677	0.590338	11.9905	11.6554	11.8229	0.236946	-0.000229251	11.8154		47924	12073	48.2257247	1.0911896	33630	45696	1.59708e-07	9.03826e-05
17	27	9	19	22	7.07107	36	0.346139	-0.676601	-0.165231	0.723186	5.67619	5.77538	5.72579	0.0701408	0.341787	8.70769		26129	47291	64.4201176	0.2320165	70499	290303	1.61484e-07	4.90615e-06
628	633	2	7	630.5	3.53553	635	-0.825577	0.945441	0.0599322	1.2523	157.314	205.157	181.236	33.8299	-0.0328504	175.949		45647	47168	86.0678938	8.7123359	70830	450495	1.45546e-07	1.84709e-04
20	25	5	10	22.5	3.53553	30	0.349816	-0.692966	-0.171575	0.737358	6.67619	5.31077	5.99348	0.965499	0.047269	6.26154		3548	35742	61.6824127	5.3520548	5721	93381	1.55716e-07	1.49741e-04
16	18	12	14	17	1.41421	30	-0.145207	0.261295	0.0580442	0.28744	4.74286	5.06462	4.90374	0.227517	0.133248	5.66923		29834	27497	75.6085973	3.5988893	37692	219596	1.56244e-07	1.30883e-04
32	34	7	9	33	1.41421	41	1.13474	0.550966	0.842853	0.41279	12.4857	10.2215	11.3536	1.60101	-0.00988961	11.2128		26487	21274	32.6773165	1.3440470	52221	297331	1.64964e-07	6.31779e-05
1	1	0	0	1	0	1	1.12241	1.30276	1.21258	0.127525	0.47619	0.470769	0.47348	0.0038334	-0.0550932	0.448718		14139	9863	37.5969608	3.8176450	91906	499375	1.54927e-07	3.87067e-04
14	8	7	1	11	4.24264	15	1.0163	1.31352	1.16491	0.210162	5.40952	2.97231	4.19092	1.72337	0.0513948	4.3641		21227	18121	48.0118251	4.1460714	123880	415398	1.28654e-07	2.28799e-04
24	20	7	3	22	2.82843	27	0.155267	-0.529089	-0.186911	0.483912	7.65714	4.46769	6.06242	2.25528	0.0758469	6.47692		47637	2223	24.3341142	7.2535971	84214	286987	1.06893e-07	0.0032630
417	36	403	22	226.5	269.408	439	-0.833632	1.59255	0.379461	1.71557	104.19	13.4338	58.8122	64.1746	0.869176	363.205		27037	2554	7.2928240	2.7382136	49656	270987	1.21701e-07	0.0010721
2	2	0	0	2	0	2	0.62806	2.00763	1.31784	0.9755	0.761905	1.01538	0.888645	0.179237	0.170303	1.08205		10749	43103	1.8539276	1.3449356	68630	141491	1.34419e-07	3.12028e-05
19	17	8	6	18	1.41421	25	-0.422515	0.533284	0.0553845	0.675852	5.2381	5.12923	5.18366	0.0769788	-0.00599636	5.15128		36198	39303	93.6642401	0.7372909	20166	309370	1.56666e-07	1.87591e-05
12	9	7	4	10.5	2.12132	16	-0.0352485	0.765039	0.364895	0.565889	3.65714	2.92	3.28857	0.521239	0.143812	3.81282		44111	9175	97.2538867	7.4747665	50276	397222	9.32701e-08	8.14688e-04
19	20	3	4	19.5	0.707107	23	0.122655	2.49971	1.31118	1.68083	6.01905	8.89538	7.45722	2.03388	0.118558	8.55641		2065	39227	60.3636224	1.9254980	92277	466773	8.21350e-08	4.90860e-05
288	7	284	3	147.5	198.697	291	0.468267	0.178778	0.323522	0.2047	97.9238	1.94154	49.9327	67.8697	0.215389	58.5359		32825	4708	72.7419998	0.0652482	28605	458542	1.03025e-07	1.38590e-05
45	15	36	6	30	21.2132	51	0.722658	-0.180774	0.270942	0.638823	16.1714	3.72615	9.94879	8.80014	0.224142	12.1359		10925	43056	54.4462974	1.0895509	81993	313034	8.81368e-08	2.53054e-05
850	780	74	4	815	49.4975	854	2.79578	2.16818	2.48198	0.443776	425.486	315.308	370.397	77.9076	0.0432939	384.862		32661	22462	47.0812586	6.2770695	99256	392037	1.02779e-07	2.79453e-04
456	20	447	11	238	308.299	467	2.36978	-1.46783	0.450977	2.7136	214.99	3.09538	109.043	149.832	0.711091	300.815		15883	7008	12.7679719	7.2916285	57577	401965	8.83203e-08	0.0010405
3	1	2	0	2	1.41421	3	-0.763843	0.380877	-0.191483	0.809439	0.685714	0.323077	0.504396	0.256423	-0.0211937	0.489744		32469	5113	78.4865847	3.2297063	54210	55274	1.30299e-07	6.31666e-04
4	2	2	0	3	1.41421	4	-0.674286	1.74357	0.534641	1.70968	0.971429	0.950769	0.961099	0.0146084	0.0657232	1.02821		6922	15594	86.8556307	4.9173453	23398	200129	9.31952e-08	3.15336e-04
6	7	2	3	6.5	0.707107	9	0.401967	-0.0882121	0.156877	0.346609	2.05714	1.78154	1.91934	0.194882	0.0916673	2.10513		19661	9503	40.0685599	0.7379643	82859	64121	9.89558e-08	7.76559e-05
0	1	0	1	0.5	0.707107	1	0	-1.15559	-0.577794	0.817124	0	0.0769231	0.0384615	0.0543928	-0.023085	0.0384615		16792	39985	98.5490248	0.8428621	104551	181145	1.01290e-07	2.10795e-05
435	92	352	9	263.5	242.538	444	-0.142429	1.79399	0.82578	1.36925	129.495	35.1877	82.3415	66.6855	0.0738422	86.4821		33544	30868	39.2477971	0.7648588	76805	240665	1.41701e-07	2.47784e-05
8	13	5	10	10.5	3.53553	18	-1.03115	-0.785112	-0.908131	0.173975	1.77143	2.62154	2.19648	0.601118	0.0233263	2.2641		34543	7273	85.4689031	2.5698753	56109	402563	1.26620e-07	3.53345e-04
2	5	1	4	3.5	2.12132	6	1.60586	-0.391578	0.607141	1.4124	0.990476	1.12923	1.05985	0.0981143	0.115319	1.20256		39628	17167	31.8102264	4.5539561	123133	180944	9.09076e-08	2.65274e-04
32	30	3	1	31	1.41421	33	1.40856	1.74001	1.57429	0.234369	13.1238	11.5477	12.3358	1.11448	-0.0490877	11.7462		15338	38249	39.6825918	7.7940182	25448	407561	1.25946e-07	2.03771e-04
16	20	6	10	18	2.82843	26	-0.549536	-1.21104	-0.880289	0.467755	4.24762	3.47077	3.85919	0.549316	-0.0214461	3.76923		24745	15235	59.8053621	7.3189997	120933	380006	1.57620e-07	4.80407e-04
24	22	12	10	23	1.41421	34	0.669467	-0.026476	0.321496	0.492106	8.57143	5.72308	7.14725	2.01409	0.0424542	7.40513		43656	3258	91.2940467	3.7852005	9631	468451	1.63478e-07	0.0011618
6	4	5	3	5	1.41421	9	-0.284631	-1.07967	-0.682153	0.56218	1.69524	0.624615	1.15993	0.757045	0.159494	1.3359		10263	2005	84.1749374	3.5067909	47056	457013	1.24178e-07	0.0017490
28	23	10	5	25.5	3.53553	33	0.0918844	0.0521543	0.0720194	0.0280934	8.8	6.11385	7.45692	1.8994	0.236685	9.61282		30637	8600	51.2396045	3.3924365	9724	367631	1.63651e-07	3.94469e-04
30	44	3	17	37	9.89949	47	0.587488	-0.123081	0.232204	0.502449	10.5143	11.1569	10.8356	0.454413	-0.0010597	10.8333		32524	31629	19.7395925	7.3372219	53709	406199	9.91150e-08	2.31978e-04
7	6	5	4	6.5	0.707107	11	-1.27524	-0.787816	-1.03153	0.344664	1.39048	1.15385	1.27216	0.167323	0.166043	1.51538		4367	45890	32.0917773	2.3403678	96448	368619	1.12478e-07	5.09995e-05
20	30	9	19	25	7.07107	39	-1.36259	-0.274609	-0.818598	0.769316	4.10476	7.28	5.69238	2.24523	0.195267	7.22821		48917	20229	90.0311038	3.7285385	25963	360102	1.66519e-07	1.84317e-04
8	11	4	7	9.5	2.12132	15	0.0379554	-0.879231	-0.420638	0.648549	2.48571	2.12	2.30286	0.258599	0.0568761	2.43333		35306	33081	84.1177487	5.3758088	24950	187847	1.45301e-07	1.62504e-04
35	41	5	11	38	4.24264	46	1.34293	0.712152	1.02754	0.446026	14.1714	12.7662	13.4688	0.993679	0.0391893	13.9897		44275	39284	42.0657283	8.8128267	105690	279781	1.32809e-07	2.24336e-04
5	3	2	0	4	1.41421	5	-0.573725	-0.379425	-0.476575	0.13739	1.27619	0.664615	0.970403	0.432449	0.00860452	0.969231		14888	8863	93.6989837	0.7999875	67855	18231	1.52581e-07	9.02615e-05
39	48	4	13	43.5	6.36396	52	0.82133	1.03855	0.929938	0.153595	14.3048	16.0031	15.1539	1.20089	-0.0239831	14.8179		42348	6157	38.5028910	6.5822039	33500	357055	7.46674e-08	0.0010691
181	10	177	6	95.5	120.915	187	2.67401	-0.928672	0.872669	2.54748	89.3524	1.87692	45.6147	61.8545	0.638755	103.192		49355	6897	57.9396771	1.7376997	118876	259141	1.46158e-07	2.51950e-04
285	22	277	14	153.5	185.969	299	-0.815518	-0.704294	-0.759906	0.0786474	71.5333	4.64308	38.0882	47.2986	0.12297	41.1385		39495	31887	9.5681948	1.2175254	80506	187434	6.75791e-08	3.81825e-05
10	19	4	13	14.5	6.36396	23	-0.105157	-0.71234	-0.408748	0.429343	2.99048	3.98462	3.48755	0.702963	-0.0207427	3.42821		19268	14260	40.3677059	9.2028034	77942	28558	9.99730e-08	6.45358e-04
83	3	81	1	43	56.5685	84	2.52152	0.283269	1.40239	1.58268	40.2667	0.876923	20.5718	27.8528	0.565045	39.5103		7601	9386	29.9052411	2.0453074	74038	193612	1.21781e-07	2.17910e-04
26	26	13	13	26	0	39	0.648129	-0.49467	0.0767295	0.808081	9.2381	5.89538	7.56674	2.36365	0.212753	9.4359		35576	16204	76.9238136	3.9383969	92986	332712	1.45653e-07	2.43051e-04
12	17	3	8	14.5	3.53553	20	1.37227	-1.90763	-0.267679	2.31924	4.99048	2.04308	3.51678	2.08413	0.416442	5.68718		7508	2355	87.5772374	4.5829542	36284	117919	1.05738e-07	0.0019461
3	2	1	0	2.5	0.707107	3	0.771427	1.88188	1.32666	0.785212	1.1619	0.984615	1.07326	0.125363	0.038633	1.11282		28032	44002	76.0021176	3.8324893	106669	266264	1.33147e-07	8.70981e-05
14	15	5	6	14.5	0.707107	20	0.209641	0.509392	0.359517	0.211955	4.53333	4.50769	4.52051	0.0181309	0.119968	5.1359		26916	49859	12.7205383	5.4216353	50443	152716	1.28111e-07	1.08739e-04
20	59	2	41	39.5	27.5772	61	-1.34356	-1.04475	-1.19416	0.211289	4.13333	11.2646	7.69897	5.04258	0.0267123	8.04103		19937	45686	41.0656321	8.0156074	60451	446439	1.01118e-07	1.75450e-04
345	334	21	10	339.5	7.77817	355	0.323304	1.6211	0.972202	0.917681	113.829	123.185	118.507	6.61572	0.0796011	129.005		18125	42961	74.5823135	0.7711614	63144	122920	6.70971e-08	1.79503e-05
596	52	554	10	324	384.666	606	-0.730252	0.244866	-0.242693	0.689513	153.219	14.4985	83.8588	98.0903	0.108304	89.6615		21727	43540	27.8787530	0.7855049	9841	96897	1.29645e-07	1.80410e-05
23	27	18	22	25	2.82843	45	-1.35262	-0.188229	-0.770424	0.823349	4.7619	6.71385	5.73788	1.38023	0.134749	6.70256		39756	49646	61.1532560	1.8652327	60525	60894	1.60669e-07	3.75707e-05
406	36	380	10	221	261.63	416	2.76828	-0.0368407	1.36572	1.98352	202.648	9.34154	105.995	136.688	0.625958	234.959		42497	43818	6.3471167	3.7748629	101294	9026	7.43588e-08	8.61487e-05
39	32	14	7	35.5	4.94975	46	-0.0927432	-2.22056	-1.15665	1.50459	11.7333	3.39077	7.56205	5.89908	0.108746	8.22051		27552	31527	45.7841263	8.4239477	47247	49015	1.16574e-07	2.67198e-04
9	11	4	6	10	1.41421	15	0.430546	-0.0207703	0.204888	0.319129	3.08571	2.86462	2.97516	0.156341	0.00686189	2.99231		41011	28342	77.5206334	0.5573547	68602	15531	1.03148e-07	1.96653e-05
689	756	89	156	722.5	47.3762	845	0.192238	0.771786	0.482012	0.409802	221.048	236.382	228.715	10.8427	0.380949	371.013		26223	326	63.3075552	5.4176357	55089	265386	6.90729e-08	0.0166185
2	8	1	7	5	4.24264	9	0.220643	-0.278481	-0.0289188	0.352934	0.666667	1.91077	1.28872	0.879713	0.0884121	1.44872		14244	18899	79.9684156	8.0265544	122059	475346	8.60175e-08	4.24708e-04
27	22	13	8	24.5	3.53553	35	-0.037844	1.06846	0.515308	0.782276	8.22857	7.46769	7.84813	0.538023	0.0617014	8.34615		7929	13811	45.3941592	6.1502451	102490	171093	8.36410e-08	4.45315e-04
22	29	5	12	25.5	4.94975	34	0.508582	-0.33409	0.0872456	0.595859	7.6	6.91385	7.25692	0.485184	0.0913305	7.96667		39731	1172	25.5118750	0.4805493	40857	321304	7.25879e-08	4.10025e-04
20	15	17	12	17.5	3.53553	32	-1.93973	-1.14809	-1.54391	0.559772	3.2381	2.63077	2.93443	0.429444	0.023723	2.99487		23019	39845	84.2082680	3.9177785	39632	213238	1.26239e-07	9.83255e-05
22	26	11	15	24	2.82843	37	-0.594855	-1.11967	-0.857263	0.3711	5.79048	4.73538	5.26293	0.746062	0.0675148	5.61795		17811	14885	54.3326072	3.7957484	114523	261051	1.32716e-07	2.55005e-04
21	33	8	20	27	8.48528	41	-1.39533	-0.82481	-1.11007	0.403421	4.26667	6.73846	5.50256	1.74782	-0.00305206	5.52051		37393	36935	0.5749326	5.7242689	89263	462470	1.57514e-07	1.54982e-04
10	10	0	0	10	0	10	1.28567	0.946451	1.11606	0.239864	4.11429	3.37846	3.74637	0.520306	0.0118699	3.77949		15066	27344	80.4506654	8.5354998	72815	316899	1.16775e-07	3.12153e-04
