S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	MIG21
30	35	12	17	32.5	3.53553	47	0.187821	-0.0527102	0.0675556	0.170082	9.6381	9.04308	9.34059	0.420741	0.0794384	10.1308		20121	25456	64.2105390	4.9141522	78448	60487	7.47655e-08	1.93045e-04
18	18	10	10	18	0	28	0.0191478	-0.319287	-0.150069	0.239309	5.5619	4.29231	4.92711	0.897741	0.0959758	5.41282		29246	698	90.0500678	5.4201360	116846	307412	1.41607e-07	0.0077652
41	7	36	2	24	24.0416	43	-0.312974	-1.22805	-0.770513	0.647059	11.6857	1.09846	6.39209	7.48632	0.346222	8.83333		46128	15882	68.5893403	2.3875056	65858	169110	1.11885e-07	1.50328e-04
25	23	12	10	24	1.41421	35	-0.408891	0.732805	0.161957	0.807301	6.93333	7.24308	7.08821	0.219022	0.109453	7.96923		3607	4597	36.9506590	4.1901092	17549	427421	7.85900e-08	9.11488e-04
26	30	3	7	28	2.82843	33	0.469203	1.22147	0.845336	0.531932	8.89524	10.4492	9.67223	1.09884	-0.00598157	9.6359		25321	22336	58.0940129	8.8099854	17409	24374	7.06747e-08	3.94430e-04
13	11	12	10	12	1.41421	23	1.03222	-1.47874	-0.223258	1.77551	5.04762	1.6	3.32381	2.43783	0.64253	8.37436		28298	7628	97.5204934	5.4616320	39682	250703	1.27923e-07	7.15998e-04
384	75	340	31	229.5	218.496	415	-0.66788	1.98543	0.658777	1.87618	100.343	29.7077	65.0253	49.9466	0.821074	316.687		19990	15971	15.9804820	4.0856540	14963	293646	1.52875e-07	2.55817e-04
34	40	10	16	37	4.24264	50	0.432404	-0.226034	0.103185	0.465586	11.5238	9.85538	10.6896	1.17975	-0.0011126	10.6538		48998	46402	52.7562403	0.0846528	60842	475502	9.19289e-08	1.82433e-06
6	1	5	0	3.5	3.53553	6	-1.98306	0.668964	-0.657046	1.87526	0.8	0.369231	0.584615	0.3046	0.0396262	0.6		34474	35590	57.6558432	2.8364030	86195	175045	1.52262e-07	7.96966e-05
481	819	30	368	650	239.002	849	1.43735	-0.0597698	0.68879	1.05862	195.743	211.415	203.579	11.0822	0.219559	261.7		20839	15520	58.9624427	1.9070898	72204	238398	1.19933e-07	1.22879e-04
27	24	9	6	25.5	2.12132	33	-0.229737	-1.27922	-0.75448	0.742099	7.84762	4.08308	5.96535	2.66193	0.122454	6.66923		10805	5004	40.5532388	5.3733136	52763	454344	7.33790e-08	0.0010738
222	20	213	11	121	142.836	233	-0.854572	-0.726939	-0.790756	0.09025	55.0952	4.17846	29.6368	36.0036	0.875077	186.205		30731	20951	17.7747556	4.3403559	20092	268194	8.98520e-08	2.07167e-04
98	36	75	13	67	43.8406	111	1.89851	1.09148	1.49499	0.57065	43.2	12.1754	27.6877	21.9377	0.23615	34.4462		38142	11598	5.4144469	7.0612296	93116	223231	1.05572e-07	6.08832e-04
