S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	T1	MUTRATE
11	43	10	42	27	22.6274	53	-0.4689	-1.38853	-0.928714	0.650275	2.97143	7.14462	5.05802	2.95089	0.9493	110.844		28089	8884	53.0970848	467643	1.26538e-07
18	10	18	10	14	5.65685	28	0.284609	-1.65874	-0.687066	1.37416	5.92381	1.29231	3.60806	3.27497	0.990477	310.89		43990	27979	96.6024425	62486	1.12368e-07
13	12	13	12	12.5	0.707107	25	0.0393567	0.896155	0.467756	0.605848	4.0381	3.98154	4.00982	0.0399917	0.932452	59.2513		36207	32559	53.6993125	499472	1.45468e-07
62	44	60	42	53	12.7279	104	0.0993486	-0.626878	-0.263765	0.51352	19.5048	9.62769	14.5662	6.98414	0.916434	158.89		21075	14129	25.5817923	405136	6.99265e-08
0	50	0	50	25	35.3553	50	0	-1.38083	-0.690413	0.976392	0	8.36923	4.18462	5.91794	0.98834	459.038		48338	28478	8.4233049	463191	1.66305e-07
10	2	10	2	6	5.65685	12	-0.175877	0.0460554	-0.0649107	0.15693	2.93333	0.535385	1.73436	1.69561	0.95073	28.641		25840	4307	21.7408217	334523	1.07773e-07
9	7	9	7	8	1.41421	16	0.765998	0.199315	0.482657	0.400705	3.33333	1.95385	2.64359	0.975445	0.992021	307.095		9139	30413	19.9884537	489448	9.27792e-08
70	121	56	107	95.5	36.0624	177	-0.554978	2.55586	1.00044	2.19969	18.781	52.3385	35.5597	23.7287	0.615301	100.49		14456	26779	65.5736283	300294	1.29860e-07
15	11	15	11	13	2.82843	26	-1.2724	1.45848	0.0930395	1.93102	3.14286	4.14769	3.64527	0.710526	0.990133	383.664		720	4933	20.2518130	226973	1.05938e-07
40	66	39	65	53	18.3848	105	0.490094	1.24308	0.866587	0.532441	13.7143	22.8585	18.2864	6.46591	0.842667	123.267		1298	25799	46.6401025	131540	1.07526e-07
17	11	17	11	14	4.24264	28	-1.3171	-1.0566	-1.18685	0.184202	3.52381	1.96615	2.74498	1.10143	0.993521	389.967		20004	44975	9.2825244	150831	1.19147e-07
23	36	22	35	29.5	9.19239	58	0.999085	-0.801309	0.0988883	1.27307	8.78095	7.42154	8.10125	0.961251	0.960079	198.303		47676	48814	55.3183308	348758	9.69053e-08
3	9	3	9	6	4.24264	12	-1.31654	-0.111174	-0.713857	0.852323	0.514286	2.27692	1.3956	1.24637	0.96061	41.5179		17311	45160	38.6514893	247598	1.11087e-07
7	20	7	20	13.5	9.19239	27	-1.37083	0.700112	-0.335361	1.46438	1.33333	6.26462	3.79897	3.48694	0.9674	137.241		31374	22458	11.1827702	319904	1.42994e-07
25	3	25	3	14	15.5563	28	0.952288	1.44538	1.19884	0.348672	9.44762	1.24923	5.34842	5.79714	0.918881	52.7179		45276	40758	3.1544676	218246	1.31842e-07
23	46	22	45	34.5	16.2635	68	-0.18234	1.2266	0.522131	0.996272	6.7619	15.9385	11.3502	6.48881	0.958775	305.554		3462	23851	81.9250386	222706	6.81013e-08
9	1	9	1	5	5.65685	10	-0.44679	-0.310532	-0.378661	0.0963491	2.4381	0.212308	1.3252	1.57387	0.986821	77.0179		27025	26605	53.5779366	196610	7.22470e-08
