S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	T1	MUTRATE
5	16	4	15	10.5	7.77817	20	-0.657295	-0.902993	-0.780144	0.173735	1.2381	3.11077	2.17443	1.32418	0.985187	164.385		17408	3754	19.5566158	257610	1.25028e-07
8	12	8	12	10	2.82843	20	-0.717546	-1.77936	-1.24846	0.750819	1.98095	1.48308	1.73201	0.352051	0.986125	119.836		22510	42240	33.0475707	369378	6.96976e-08
22	32	22	32	27	7.07107	54	-1.21046	-0.614707	-0.912582	0.421259	4.78095	7.00308	5.89201	1.57128	0.959015	151.126		27508	43947	9.1403073	145448	1.19898e-07
41	57	40	56	49	11.3137	97	0.148521	-1.55789	-0.704684	1.20661	13.0476	8.88308	10.9653	2.94478	0.980223	525.292		13432	41507	83.4274901	468913	1.04323e-07
9	4	9	4	6.5	3.53553	13	-1.37573	-0.028817	-0.702276	0.952415	1.75238	1.03692	1.39465	0.505905	0.991516	152.587		42539	29815	20.5928391	305919	1.00875e-07
2	20	2	20	11	12.7279	22	1.44289	-0.922685	0.260104	1.67272	0.952381	3.89231	2.42234	2.07884	0.77046	11.9872		44734	22629	91.0513814	65980	7.65292e-08
0	8	0	8	4	5.65685	8	0	1.50271	0.751356	1.06258	0	3.09846	1.54923	2.19094	0.969537	64.8077		42369	42951	17.5973772	78704	1.14531e-07
0	3	0	3	1.5	2.12132	3	0	-0.0144635	-0.00723174	0.0102272	0	0.781538	0.390769	0.552631	0.997398	192.423		47478	35285	98.8842839	373577	1.42662e-07
22	836	2	816	429	575.585	838	-0.490319	-1.43268	-0.961498	0.666348	5.9619	140.554	73.2579	95.1709	0.861178	647.405		47011	9771	68.6128547	318611	9.30644e-08
20	3	20	3	11.5	12.0208	23	1.44702	1.14765	1.29734	0.211687	8.32381	1.15385	4.73883	5.06993	0.979012	178.515		48013	6516	43.3955140	60268	1.46478e-07
14	40	12	38	27	18.3848	52	0.0868884	1.29494	0.690915	0.854223	4.4	14.0738	9.23692	6.84044	0.852264	70.5333		23992	12169	58.0485325	341915	1.40952e-07
8	6	7	5	7	1.41421	13	-0.717546	-0.434488	-0.576017	0.200152	1.98095	1.34154	1.66125	0.452134	0.992604	212.492		24457	44877	8.2515314	38416	1.30231e-07
27	0	27	0	13.5	19.0919	27	-0.13379	0	-0.0668952	0.0946042	8.0381	0	4.01905	5.68379	0.977419	128.8		37225	42797	59.6602121	495449	7.58669e-08
5	16	5	16	10.5	7.77817	21	-0.991574	-0.204627	-0.598101	0.556456	1.08571	3.94769	2.5167	2.02372	0.987962	242.221		17836	9711	47.3235605	25248	1.23999e-07
13	13	13	13	13	0	26	1.06969	-1.23737	-0.0838399	1.63133	5.08571	2.16923	3.62747	2.06227	0.993536	497.887		7015	19855	76.0032819	102387	1.58007e-07
24	8	24	8	16	11.3137	32	1.14082	-0.28771	0.426554	1.01012	9.40952	1.90462	5.65707	5.30677	0.928848	65.5821		30470	851	53.8704897	439878	1.53599e-07
21	2	21	2	11.5	13.435	23	-1.34683	-0.93473	-1.14078	0.291398	4.34286	0.295385	2.31912	2.862	0.975274	71.2205		49857	18516	88.2272195	249379	1.02898e-07
1	236	1	236	118.5	166.17	237	1.50272	3.3283	2.41551	1.29089	0.533333	113.732	57.1328	80.0438	0.835291	429.467		49571	13182	18.5552412	37813	7.79195e-08
1	27	1	27	14	18.3848	28	0.742099	-1.42277	-0.340335	1.53079	0.419048	4.34154	2.38029	2.77362	0.953089	62.0359		37867	11673	98.8319687	110718	1.28387e-07
10	11	10	11	10.5	0.707107	21	0.0834297	-0.34358	-0.130075	0.301941	3.14286	2.58462	2.86374	0.394737	0.975562	114.031		27255	21747	52.3224556	373919	1.33377e-07
7	1	7	1	4	4.24264	8	-1.14779	-1.15559	-1.15169	0.0055127	1.46667	0.0769231	0.771795	0.982697	0.99375	92.3051		47262	29537	56.0514449	135904	1.46772e-07
15	26	15	26	20.5	7.77817	41	2.45292	0.445317	1.44912	1.41959	7.44762	7.64	7.54381	0.136034	0.921766	96.7487		5575	18044	10.8155100	176368	1.41836e-07
30	4	30	4	17	18.3848	34	0.778634	-1.34631	-0.283838	1.50256	10.9333	0.52	5.72667	7.36334	0.951017	88.2487		11374	35622	5.5542165	463059	1.55274e-07
35	1	34	0	18	24.0416	35	-0.894196	1.30276	0.20428	1.55348	8.49524	0.470769	4.483	5.67416	0.976106	141.277		25651	43380	41.6161100	212352	1.22815e-07
0	26	0	26	13	18.3848	26	0	-1.10143	-0.550717	0.778831	0	4.76923	2.38462	3.37236	0.988766	271.538		46089	33504	73.8642255	194142	1.29650e-07
36	4	35	3	20	22.6274	39	1.13092	-0.85225	0.139333	1.40231	14.019	0.713846	7.36645	9.4082	0.906088	60.1436		27478	41788	52.6572678	209505	1.46705e-07
6	7	6	7	6.5	0.707107	13	-0.682135	-0.139556	-0.410846	0.383661	1.48571	1.75077	1.61824	0.187422	0.891262	15.1923		12525	45358	22.0066348	94758	1.30327e-07
52	7	52	7	29.5	31.8198	59	1.04959	-0.514369	0.267611	1.10589	19.8857	1.52615	10.7059	12.9822	0.950032	164.764		14335	15749	96.0034078	317291	1.53155e-07
40	3	40	3	21.5	26.163	43	0.133213	-1.73363	-0.800207	1.32005	12.6857	0.230769	6.45824	8.80698	0.949591	94.8487		6291	42319	79.1064536	255415	8.59916e-08
0	10	0	10	5	7.07107	10	0	-0.28698	-0.14349	0.202926	0	2.39077	1.19538	1.69053	0.990791	166.115		4463	24716	63.2266834	296798	7.18742e-08
11	5	11	5	8	4.24264	16	0.876585	-0.251831	0.312377	0.797911	4.15238	1.19385	2.67311	2.092	0.992203	289.685		35467	45373	13.4830171	481347	1.07729e-07
65	60	63	58	62.5	3.53553	123	0.465305	-0.975378	-0.255036	1.01872	22.1333	11.7415	16.9374	7.34811	0.886606	137.759		2003	18559	41.3668761	318862	1.17388e-07
26	53	24	51	39.5	19.0919	77	0.886697	0.332836	0.609767	0.391639	9.69524	15.0954	12.3953	3.81848	0.880893	109.779		39825	20039	49.2766927	254050	1.29057e-07
12	29	12	29	20.5	12.0208	41	0.387006	0.778092	0.582549	0.276539	4.05714	9.19692	6.62703	3.63437	0.936265	114.7		19055	46049	57.0405357	375476	1.46268e-07
20	6	20	6	13	9.89949	26	0.850852	-0.938415	-0.043781	1.2652	7.42857	1.07385	4.25121	4.49347	0.980601	173.756		1035	11832	84.3911013	189874	1.52813e-07
223	4	223	4	113.5	154.856	227	-2.30614	0.653456	-0.826341	2.09275	32.8571	1.30462	17.0809	22.311	0.93688	204.108		815	26780	77.7905718	481313	1.25721e-07
10	28	10	28	19	12.7279	38	0.672763	0.782354	0.727558	0.0774928	3.61905	8.89231	6.25568	3.72876	0.978623	326.756		9018	21149	90.7877169	452133	1.67706e-07
20	24	20	24	22	2.82843	44	-1.90168	-0.744019	-1.32285	0.818587	3.29524	5.00615	4.1507	1.2098	0.992789	608.849		42486	20772	73.7803760	283573	9.12012e-08
3	53	2	52	28	35.3553	55	-0.948075	-0.544966	-0.746521	0.285041	0.628571	11.9138	6.27121	7.97989	0.938005	125.4		18286	37188	22.2261568	426736	1.51225e-07
0	28	0	28	14	19.799	28	0	-0.1126	-0.0563002	0.0796205	0	7.11385	3.55692	5.03025	0.990359	472.077		44459	208	44.3994198	334677	8.45147e-08
8	23	8	23	15.5	10.6066	31	0.251777	0.931251	0.591514	0.480461	2.62857	7.57231	5.10044	3.49575	0.947595	110.005		27682	35800	67.1602821	25999	1.56464e-07
16	29	16	29	22.5	9.19239	45	0.165816	-0.500468	-0.167326	0.471134	5.12381	6.57231	5.84806	1.02424	0.979586	296.292		14417	49971	23.5592110	491927	1.23238e-07
12	200	11	199	106	132.936	211	0.708724	0.734415	0.72157	0.0181659	4.3619	62.1323	33.2471	40.8498	0.529933	80.7487		31231	31644	86.9257444	207254	7.98489e-08
53	35	51	33	44	12.7279	86	1.70523	-0.465308	0.619961	1.5348	22.7429	8.03385	15.3884	10.4008	0.969554	439.164		2737	8952	64.6991371	340633	1.40494e-07
0	3	0	3	1.5	2.12132	3	0	-0.196944	-0.0984722	0.139261	0	0.723077	0.361538	0.511293	0.997404	178.423		18946	23896	91.8418145	294705	8.93345e-08
33	21	33	21	27	8.48528	54	0.739733	0.522599	0.631166	0.153537	11.9238	6.30154	9.11267	3.97555	0.958896	203.118		15234	28220	84.1805981	252296	1.23259e-07
3	0	3	0	1.5	2.12132	3	-0.0883243	0	-0.0441621	0.0624547	0.895238	0	0.447619	0.633029	0.991736	39		844	15028	79.4899310	221961	1.64461e-07
444	435	107	98	439.5	6.36396	542	1.58478	3.59686	2.59082	1.42276	185.229	216.858	201.044	22.3657	0.324052	300.021		27374	27673	52.4221254	392878	1.62263e-07
43	0	43	0	21.5	30.4056	43	0.944792	0	0.472396	0.668069	16.1429	0	8.07143	11.4147	0.958831	142.8		33634	38388	7.3379155	419645	1.55300e-07
3	71	1	69	37	48.0833	72	2.12246	1.6769	1.89968	0.315063	1.58095	26.6585	14.1197	17.7325	0.952083	365.303		44389	41259	65.4417901	323737	1.19985e-07
3	31	3	31	17	19.799	34	-0.763843	-1.41063	-1.08724	0.457349	0.685714	5.04308	2.8644	3.08112	0.971994	123.669		16338	8103	96.5422617	75230	8.29786e-08
128	1	128	1	64.5	89.8026	129	0.836304	0.668964	0.752634	0.118327	46.8476	0.369231	23.6084	32.8652	0.802653	92.2974		12753	46035	25.6987508	51544	1.00167e-07
35	15	35	15	25	14.1421	50	1.33542	-0.398149	0.468636	1.22582	14.1524	3.48	8.81619	7.54651	0.983788	452.333		36743	23814	46.1087991	52608	1.57019e-07
29	2	29	2	15.5	19.0919	31	-0.387866	-1.22394	-0.805901	0.59119	8.09524	0.224615	4.15993	5.56537	0.989259	284.944		42842	27987	3.8507688	275046	9.14287e-08
26	17	25	16	21.5	6.36396	42	-0.0973975	-1.46228	-0.779837	0.965115	7.80952	2.60615	5.20784	3.67934	0.967316	137.546		11477	26198	1.8133678	96285	1.06976e-07
6	9	6	9	7.5	2.12132	15	-0.537588	-0.0189406	-0.278264	0.366739	1.5619	2.34462	1.95326	0.55346	0.980184	104.044		10942	25622	81.2679639	221017	1.66216e-07
2	54	1	53	28	36.7696	55	-1.00161	0.412684	-0.294462	1.00005	0.380952	15.6738	8.0274	10.8137	0.880468	83.2641		19198	15400	78.5928943	99344	1.50621e-07
33	20	31	18	26.5	9.19239	51	-0.105751	-0.0891864	-0.0974689	0.0117132	9.89524	5.11077	7.503	3.38313	0.958828	166.451		27029	41923	73.6781620	281823	7.62347e-08
14	23	14	23	18.5	6.36396	37	-0.211226	0.424936	0.106855	0.449834	4.07619	6.73231	5.40425	1.87816	0.943305	101.592		49386	25757	99.7761153	280222	1.38779e-07
66	69	61	64	67.5	2.12132	130	0.207243	-0.133479	0.0368823	0.240927	21.2667	17.4585	19.3626	2.69281	0.948947	369.223		7535	37489	92.3219844	235292	1.32919e-07
14	30	14	30	22	11.3137	44	1.36703	0.58382	0.975423	0.553811	5.79048	9.09846	7.44447	2.3391	0.906155	83.8795		18867	708	24.1790277	341187	8.05622e-08
12	16	12	16	14	2.82843	28	0.105503	0.0469898	0.0762465	0.0413752	3.79048	4.24923	4.01985	0.324388	0.980954	214.397		1037	18786	80.8924412	164598	1.30393e-07
19	90	19	90	54.5	50.2046	109	0.774201	-1.51042	-0.368112	1.61547	6.95238	14.4554	10.7039	5.30542	0.949553	232.208		20830	9271	71.6260504	483957	1.01432e-07
4	20	4	20	12	11.3137	24	-0.723923	-0.280723	-0.502323	0.31339	0.952381	4.83077	2.89158	2.74243	0.992448	454.795		11086	23926	92.3732123	196588	1.41671e-07
143	13	142	12	78	91.9239	155	2.40887	-0.57283	0.918019	2.10838	68.019	2.83385	35.4264	46.0929	0.626486	78.4846		5453	31819	59.5731688	446050	1.55689e-07
36	18	36	18	27	12.7279	54	1.18938	-0.016274	0.586555	0.852528	14.1714	4.69538	9.43341	6.70057	0.983874	503.323		10868	14136	35.2441664	33741	1.05040e-07
3	16	3	16	9.5	9.19239	19	-0.395378	-0.897858	-0.646618	0.355307	0.8	3.11692	1.95846	1.63831	0.989643	220.351		42156	35157	51.8817356	403670	1.23426e-07
8	29	8	29	18.5	14.8492	37	-0.318413	-0.836221	-0.577317	0.366146	2.24762	5.88308	4.06535	2.57066	0.908021	49.3128		10027	29560	81.9700292	415553	1.27943e-07
2	13	2	13	7.5	7.77817	15	-1.49051	1.04851	-0.220998	1.79536	0.266667	4.45538	2.36103	2.96187	0.974807	116.633		3202	45729	37.5578360	412466	1.68184e-07
17	0	17	0	8.5	12.0208	17	0.625798	0	0.312899	0.442506	6.0381	0	3.01905	4.26958	0.970295	73.7333		17667	45932	11.1428366	346217	1.16551e-07
38	32	38	32	35	4.24264	70	-0.0385314	0.338684	0.150076	0.266731	11.581	9.14769	10.3643	1.72057	0.951915	208.713		43398	19905	90.4819114	59864	1.49110e-07
5	0	5	0	2.5	3.53553	5	-0.28123	0	-0.140615	0.19886	1.40952	0	0.704762	0.996684	0.990385	52.8		33710	24721	44.4568604	80971	1.63071e-07
42	4	42	4	23	26.8701	46	-0.618951	-1.16594	-0.892444	0.386779	11.0476	0.590769	5.81919	7.39411	0.884343	38.8872		21476	27784	98.6688451	358548	1.23989e-07
16	20	16	20	18	2.82843	36	0.679004	-0.926895	-0.123945	1.13554	5.75238	3.88615	4.81927	1.31962	0.991341	526.428		25101	40433	90.0523269	492330	1.68171e-07
23	18	23	18	20.5	3.53553	41	-0.0820304	-0.0555963	-0.0688133	0.0186917	6.93333	4.64308	5.78821	1.61946	0.894972	52.3256		15154	18370	24.7552897	443077	1.55297e-07
37	2	37	2	19.5	24.7487	39	0.744717	-0.0168154	0.363951	0.538485	13.3714	0.52	6.94571	9.08733	0.96695	156.946		35548	36569	52.2339133	67387	8.63139e-08
103	13	103	13	58	63.6396	116	1.91942	0.503962	1.21169	1.00088	45.5429	3.91077	24.7268	29.4383	0.738452	77.3615		36147	41855	23.4617724	65694	1.63915e-07
53	20	52	19	36.5	23.3345	72	1.43805	0.474899	0.956472	0.681047	21.7333	5.93538	13.8344	11.1708	0.944326	210.472		14471	35822	81.6579535	140856	7.18202e-08
30	2	30	2	16	19.799	32	-0.29873	-0.670672	-0.484701	0.263003	8.57143	0.36	4.46571	5.80636	0.874069	27.3051		19593	34525	83.5844190	423987	9.68690e-08
14	358	9	353	186	243.245	367	-1.82455	1.647	-0.0887733	2.45476	2.32381	132.628	67.4758	92.1388	0.786653	385.913		34831	33380	49.5402727	480273	9.50146e-08
39	35	39	35	37	2.82843	74	1.53228	1.05426	1.29327	0.338009	16.3048	11.7508	14.0278	3.22016	0.970408	452.908		31098	19869	2.2200727	257148	1.45145e-07
58	29	58	29	43.5	20.5061	87	1.97279	-0.980115	0.496339	2.08802	25.9714	5.58769	15.7796	14.4135	0.978894	614.023		1643	8201	81.9154612	87925	1.19446e-07
1	7	1	7	4	4.24264	8	-1.15945	-0.28332	-0.721383	0.619515	0.133333	1.66462	0.898974	1.08278	0.995982	277.269		47888	33875	20.0684347	58743	1.22834e-07
30	13	30	13	21.5	12.0208	43	-0.0207004	0.21169	0.0954947	0.164325	9.18095	3.61846	6.39971	3.93327	0.976094	235.595		36951	35976	14.6798004	220803	1.55299e-07
22	22	22	22	22	0	44	0.543427	-0.518908	0.0122596	0.751184	7.65714	4.93846	6.2978	1.9224	0.931275	86.4026		41721	15715	94.2048835	363137	1.04187e-07
33	36	31	34	34.5	2.12132	67	-0.403457	1.46147	0.529005	1.3187	9.18095	13.1046	11.1428	2.77445	0.982736	677.003		45284	17267	75.8768373	82701	1.52111e-07
3	20	3	20	11.5	12.0208	23	-0.0269135	-0.0786624	-0.052788	0.036592	0.914286	5.12615	3.02022	2.97824	0.988593	316.315		27446	45594	38.9876703	300526	9.06732e-08
56	16	56	16	36	28.2843	72	-0.555301	-0.807995	-0.681648	0.178681	15.0095	3.22462	9.11707	8.33319	0.98492	495.846		2371	31845	16.3586709	283209	8.78483e-08
24	87	20	83	55.5	44.5477	107	-0.412496	-2.13429	-1.27339	1.21749	6.64762	10.3169	8.48227	2.59459	0.987085	696.374		28494	28501	40.4403447	208654	8.89090e-08
5	8	5	8	6.5	2.12132	13	0.554469	-0.670712	-0.0581219	0.866334	1.79048	1.64923	1.71985	0.0998756	0.995103	347.123		3978	37417	12.4046910	252493	1.06602e-07
61	12	60	11	36.5	34.6482	72	1.00341	0.843435	0.923423	0.11312	23.1048	3.93231	13.5185	13.557	0.957763	258.474		17663	45418	37.3938045	87770	1.41568e-07
21	7	21	7	14	9.89949	28	-0.910286	-1.92633	-1.41831	0.718455	5.02857	0.68	2.85429	3.0749	0.980986	118.413		35503	418	44.2102111	147975	1.40455e-07
13	2	13	2	7.5	7.77817	15	-0.316575	-0.720969	-0.518772	0.28595	3.67619	0.347692	2.01194	2.3536	0.990085	155.992		19797	49942	27.5609982	466780	1.63835e-07
8	20	8	20	14	8.48528	28	-0.888603	0.832714	-0.0279446	1.21715	1.86667	6.45846	4.16256	3.24689	0.990928	529.646		19486	13698	81.3982160	432706	1.14828e-07
10	35	10	35	22.5	17.6777	45	-0.034437	-1.54838	-0.791407	1.07052	3.04762	5.38462	4.21612	1.65251	0.974672	179.177		49534	29791	66.7811629	38171	1.19045e-07
20	17	20	17	18.5	2.12132	37	-0.163905	2.10053	0.968312	1.6012	5.90476	7.11077	6.50777	0.852776	0.768718	28.7205		46302	46959	80.9913204	494255	1.34109e-07
11	5	10	4	8	4.24264	15	-0.251886	-1.01045	-0.631171	0.536389	3.1619	0.843077	2.00249	1.63966	0.98478	110.374		44966	45109	49.9897822	218952	1.11452e-07
23	9	22	8	16	9.89949	31	-1.49751	1.60771	0.0551006	2.19572	4.51429	3.53846	4.02637	0.690012	0.950146	78.1256		27503	31845	45.9804803	328956	1.53656e-07
23	50	20	47	36.5	19.0919	70	0.174317	0.0732113	0.123764	0.0714922	7.37143	13.3538	10.3626	4.23021	0.967314	342.095		38673	41128	30.5243030	62641	8.88089e-08
10	39	10	39	24.5	20.5061	49	-0.27017	-0.725563	-0.497867	0.322011	2.85714	8.25538	5.55626	3.81713	0.977598	281.326		48703	45078	37.6676263	443641	9.65416e-08
54	32	54	32	43	15.5563	86	-1.3758	1.44254	0.0333701	1.99286	11.3143	11.6308	11.4725	0.223788	0.975882	477.5		7019	46903	13.6139107	418008	1.16992e-07
0	42	0	42	21	29.6985	42	0	-0.196072	-0.0980361	0.138644	0	10.4369	5.21846	7.38002	0.907145	70.7308		22553	20476	96.5558237	357771	8.50039e-08
1	42	1	42	21.5	28.9914	43	1.12241	-0.82428	0.149064	1.37652	0.47619	8.61231	4.54425	5.7531	0.958472	136.026		3758	27376	80.2158249	223348	1.63834e-07
20	35	20	35	27.5	10.6066	55	-0.620545	-0.98986	-0.805203	0.261145	5.21905	6.75077	5.98491	1.08309	0.990347	642.192		28669	34714	19.6372138	366205	1.66512e-07
17	8	17	8	12.5	6.36396	25	1.61197	1.73344	1.6727	0.0858928	7.31429	3.25231	5.2833	2.87225	0.976177	198.241		24408	44805	93.2619161	296471	1.00546e-07
3	12	3	12	7.5	6.36396	15	-1.00949	-0.158237	-0.583862	0.601924	0.609524	2.99692	1.80322	1.68815	0.980561	109.779		2731	23002	84.0408564	282626	7.26972e-08
21	2	21	2	11.5	13.435	23	-0.837529	-1.51314	-1.17534	0.47773	5.14286	0.153846	2.64835	3.52776	0.962246	52.1436		25925	48677	10.9411000	411227	1.26558e-07
34	55	30	51	44.5	14.8492	85	0.0388403	-0.0248065	0.0070169	0.0450051	10.5524	14.32	12.4362	2.66411	0.956809	299.759		17690	5083	8.2363732	247385	1.55482e-07
33	10	33	10	21.5	16.2635	43	0.120505	-0.164021	-0.0217581	0.201191	10.4381	2.48923	6.46366	5.6207	0.965815	157.292		42788	22050	74.1448723	345043	1.03481e-07
22	7	21	6	14.5	10.6066	28	-0.577433	-0.06254	-0.319986	0.364084	5.81905	1.79692	3.80799	2.84407	0.986235	235.949		43868	44491	73.3682284	382938	8.33779e-08
8	16	8	16	12	5.65685	24	-0.717546	-1.5115	-1.11452	0.561407	1.98095	2.38154	2.18125	0.283257	0.996342	611.633		25801	3143	83.4258351	417368	1.46234e-07
9	5	9	5	7	2.82843	14	1.12725	-1.40308	-0.137911	1.78921	3.6	0.661538	2.13077	2.07781	0.99079	186.726		8341	41448	32.3009111	143348	8.06837e-08
1	14	1	14	7.5	9.19239	15	1.37595	-1.49867	-0.0613593	2.03266	0.514286	2.07077	1.29253	1.1006	0.996957	496.708		17570	16371	49.7424368	424722	9.98892e-08
9	17	9	17	13	5.65685	26	2.03039	-0.503434	0.76348	1.79169	4.26667	3.81846	4.04256	0.316929	0.988857	357.167		31708	40279	12.8449812	55110	7.34915e-08
30	29	29	28	29.5	0.707107	58	0.52667	-0.68783	-0.0805804	0.858781	10.381	6.18769	8.28432	2.96508	0.988673	679.677		34177	48005	44.2793218	290676	1.13461e-07
34	28	34	28	31	4.24264	62	1.07291	0.670872	0.871891	0.284284	13.1048	8.67077	10.8878	3.13531	0.972319	371.303		21364	3176	10.6662820	406073	8.35350e-08
19	27	19	27	23	5.65685	46	-0.129985	0.144825	0.00741999	0.19432	5.65714	7.35385	6.50549	1.19975	0.937938	108.464		11282	6887	59.1278738	219522	1.39635e-07
1	6	1	6	3.5	3.53553	7	-1.15945	-0.301266	-0.730356	0.606825	0.133333	1.41231	0.772821	0.904371	0.996109	244.797		9654	23858	26.7873311	259554	1.64314e-07
17	6	17	6	11.5	7.77817	23	-1.37598	0.15053	-0.612723	1.0794	3.44762	1.65231	2.54996	1.26948	0.975611	94.4		27410	48577	1.8980170	217449	8.51414e-08
28	6	28	6	17	15.5563	34	0.00843434	0.289544	0.148989	0.198775	8.62857	1.72615	5.17736	4.88075	0.971821	150.059		44783	49857	18.2185439	130781	1.62588e-07
38	17	38	17	27.5	14.8492	55	-0.309233	-0.311178	-0.310206	0.00137551	10.8381	4.06154	7.44982	4.79175	0.967314	199.538		40791	39173	93.1403435	306684	1.63295e-07
8	37	8	37	22.5	20.5061	45	-1.23072	-0.748905	-0.989811	0.340692	1.6381	7.76615	4.70212	4.33319	0.944013	98.6462		19013	23540	42.4778473	82400	1.26511e-07
17	49	17	49	33	22.6274	66	0.905458	-1.00402	-0.0492814	1.35021	6.4	9.46462	7.93231	2.16701	0.977061	364.259		34482	28085	82.9159899	169570	1.27311e-07
33	36	29	32	34.5	2.12132	65	-0.0144549	0.673722	0.329634	0.486615	10.1143	11.1262	10.6202	0.715499	0.970241	361.544		18992	15428	9.2308391	341060	1.10657e-07
12	24	11	23	18	8.48528	35	-1.04062	-0.756507	-0.898562	0.200896	2.70476	4.98462	3.84469	1.6121	0.991	462.608		31850	31192	90.5673307	89291	9.24994e-08
35	18	33	16	26.5	12.0208	51	-0.241076	-0.453445	-0.347261	0.150167	10.1524	4.11385	7.13311	4.26989	0.96825	198.608		45004	1528	84.9732351	321597	7.44204e-08
2	639	1	638	320.5	450.427	640	-1.49051	2.0699	0.289696	2.51759	0.266667	254.252	127.259	179.595	0.650193	434.049		47824	31883	98.5732709	131628	1.15565e-07
37	32	34	29	34.5	3.53553	66	-0.900007	-0.230341	-0.565174	0.473525	8.97143	7.86769	8.41956	0.780459	0.979664	406.518		33197	15413	28.6950640	416388	1.00638e-07
15	6	15	6	10.5	6.36396	21	0.293554	2.10831	1.20093	1.28323	4.95238	2.69231	3.82234	1.59811	0.988099	294.695		44226	19257	60.2448527	58221	9.87762e-08
12	20	12	20	16	5.65685	32	1.27173	0.660121	0.965926	0.432474	4.89524	6.20615	5.5507	0.926957	0.977975	260.249		46218	3385	88.3544224	99854	9.54531e-08
6	8	6	8	7	1.41421	14	1.26925	-1.04449	0.112381	1.63606	2.51429	1.4	1.95714	0.787919	0.978153	82.5308		43354	7456	55.7732611	96561	1.67080e-07
9	308	7	306	158.5	211.425	315	-1.96923	-2.72502	-2.34712	0.534424	1.31429	25.4062	13.3602	17.0355	0.944261	297.6		9008	39885	70.6945077	82718	9.49771e-08
44	4	44	4	24	28.2843	48	-0.0990867	0.0888163	-0.00513521	0.132867	13.219	1.08308	7.15106	8.58143	0.979045	261.115		3700	9225	60.0785061	402274	1.38429e-07
33	22	32	21	27.5	7.77817	54	0.906448	0.00635283	0.456401	0.636464	12.3238	5.77538	9.0496	4.63044	0.969946	271.215		15325	47924	75.9226808	498029	1.35118e-07
30	42	28	40	36	8.48528	70	-0.168403	0.972416	0.402006	0.806681	8.85714	13.8308	11.344	3.51688	0.963481	329.21		15707	21240	93.4634794	209845	1.24375e-07
16	28	15	27	22	8.48528	43	-1.22601	-0.923943	-1.07498	0.213594	3.41905	5.50154	4.46029	1.47254	0.961936	124.631		24494	3363	75.5031966	102759	7.41119e-08
40	40	37	37	40	0	77	0.632185	-0.699744	-0.0337794	0.941816	14.1238	8.54154	11.3327	3.94726	0.977528	469.979		5219	16153	72.8231286	192576	1.69988e-07
14	1	14	1	7.5	9.19239	15	-0.632093	-0.713854	-0.672974	0.0578134	3.61905	0.147692	1.88337	2.45462	0.996917	452.467		38698	1906	19.1550692	277221	8.41384e-08
26	9	26	9	17.5	12.0208	35	-0.867775	-0.484298	-0.676036	0.271159	6.33333	2.00308	4.16821	3.06195	0.926603	49.0179		35272	27428	29.1098095	102254	6.84214e-08
27	15	27	15	21	8.48528	42	-1.41947	0.00399501	-0.707739	1.00654	5.48571	3.93538	4.71055	1.09625	0.959152	110.162		23085	22519	21.3339521	268629	1.51423e-07
48	45	46	43	46.5	2.12132	91	0.293937	-0.00653829	0.1437	0.212468	15.7714	11.7723	13.7719	2.82781	0.890385	121		42954	15610	71.9857262	67057	8.48868e-08
24	31	22	29	27.5	4.94975	53	-0.412496	-1.12744	-0.769969	0.505544	6.64762	5.66154	6.15458	0.697264	0.970176	201.828		27300	21019	20.4975274	96616	8.74068e-08
4	8	4	8	6	2.82843	12	1.31119	0.289102	0.800148	0.722729	1.73333	2.28923	2.01128	0.393079	0.974701	82.5282		7202	30331	17.6005269	478682	1.25376e-07
6	36	6	36	21	21.2132	42	-0.645998	0.818285	0.0861434	1.0354	1.50476	11.4892	6.497	7.06009	0.870402	59.7333		26271	44603	43.8160782	395719	9.09841e-08
25	39	25	39	32	9.89949	64	-0.135624	-1.47206	-0.803841	0.945002	7.4381	6.23385	6.83597	0.851533	0.966563	199.515		42805	37283	24.6374101	108698	1.49661e-07
15	12	15	12	13.5	2.12132	27	-0.629535	-0.586584	-0.608059	0.0303709	3.88571	2.59692	3.24132	0.911313	0.992552	410.928		197	35221	84.6102124	127357	6.82288e-08
36	3	36	3	19.5	23.3345	39	-0.11152	-1.31104	-0.711279	0.848188	10.781	0.366154	5.57355	7.36437	0.947914	80.1256		3574	43039	60.4275849	483650	1.62452e-07
11	20	11	20	15.5	6.36396	31	0.551065	1.1779	0.864482	0.44324	3.86667	6.96308	5.41487	2.18949	0.973068	216.882		24888	7375	77.3106000	398367	1.15966e-07
5	1	5	1	3	2.82843	6	-1.2005	1.53323	0.166363	1.93304	0.990476	0.507692	0.749084	0.34138	0.982029	37.9564		44095	29944	41.1067617	166615	9.89879e-08
57	7	56	6	32	35.3553	63	0.844172	-0.673536	0.0853179	1.07318	20.9524	1.43077	11.1916	13.8039	0.970769	291.156		47989	15138	11.4907917	196050	6.82203e-08
11	6	11	6	8.5	3.53553	17	0.659572	0.162114	0.410843	0.351755	3.9619	1.65846	2.81018	1.62878	0.954675	55.1256		37864	30199	99.7770939	262962	1.44251e-07
