S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	MIG12	MIG21
2	4	0	2	3	1.41421	4	-0.0238069	-1.36199	-0.6929	0.946241	0.609524	0.513846	0.561685	0.0676543	0.0381621	0.582051		44507	11655	51.0536269	7.0316422	8232	463380	1.17756e-07	1.57990e-04	6.03316e-04
17	21	4	8	19	2.82843	25	0.19159	0.36952	0.280555	0.125816	5.47619	6.06769	5.77194	0.418255	0.0191591	5.89487		14887	44489	13.4757813	0.2105429	64044	381983	1.12229e-07	1.41427e-05	4.73247e-06
450	455	1	6	452.5	3.53553	456	-0.697687	2.56493	0.933621	2.30702	116.676	195.942	156.309	56.0491	0.0275189	162.195		27868	46110	87.7261409	9.6368743	87300	382284	1.57795e-07	3.45804e-04	2.08997e-04
3	5	1	3	4	1.41421	6	-1.00949	-1.55613	-1.28281	0.386536	0.609524	0.590769	0.600147	0.0132615	0.00871491	0.605128		30345	9579	65.2358942	3.9658033	4803	84868	1.37771e-07	1.30691e-04	4.14010e-04
0	19	0	19	9.5	13.435	19	0	-1.1884	-0.594201	0.840327	0	3.32	1.66	2.34759	0.0766203	1.88462		12215	41386	13.2099314	8.1479284	29106	209912	1.58805e-07	6.67043e-04	1.96876e-04
67	81	25	39	74	9.89949	106	0.129355	-0.0996287	0.0148632	0.161916	21.219	20.6831	20.9511	0.378989	0.0589616	22.2513		33111	20582	11.5667821	2.0659104	105198	247619	1.04098e-07	6.23935e-05	1.00375e-04
22	33	1	12	27.5	7.77817	34	-0.676161	-1.00956	-0.84286	0.235747	5.65714	6.31077	5.98396	0.462184	-0.0173574	5.88974		3740	10872	11.0353268	6.2088910	94980	320438	1.28350e-07	0.0016601	5.71090e-04
116	125	1	10	120.5	6.36396	126	-1.94694	-1.189	-1.56797	0.535946	19.8667	22.8492	21.3579	2.10899	-0.0360352	20.6436		11619	43582	43.9811400	1.9228071	121442	8990	7.47413e-08	1.65488e-04	4.41193e-05
21	19	4	2	20	1.41421	23	0.37509	0.881146	0.628118	0.357836	7.04762	6.20923	6.62842	0.59283	-0.0335243	6.40513		817	4602	81.2008595	3.8530893	65746	188995	7.62535e-08	0.0047161	8.37264e-04
0	7	0	7	3.5	4.94975	7	0	-0.848106	-0.424053	0.599702	0	1.32615	0.663077	0.937732	0.0539841	0.730769		11399	39614	56.4409185	3.3471353	83335	132370	1.03073e-07	2.93634e-04	8.44937e-05
254	257	1	4	255.5	2.12132	258	0.479668	3.06211	1.77089	1.82606	86.5714	119.289	102.93	23.135	-0.00125067	103.269		42435	15521	58.1707894	1.5323629	82605	296431	1.51353e-07	3.61108e-05	9.87284e-05
3	0	3	0	1.5	2.12132	3	-1.685	0	-0.842502	1.19148	0.4	0	0.2	0.282843	0.0387324	0.2		19060	19045	66.8992714	8.1790941	30108	331221	1.42056e-07	4.29124e-04	4.29461e-04
12	11	6	5	11.5	0.707107	17	-0.859651	-0.730242	-0.794947	0.0915057	2.87619	2.24923	2.56271	0.443327	0.0350777	2.64359		31595	11547	9.4687723	2.3502567	14908	439138	7.51644e-08	7.43870e-05	2.03538e-04
26	53	10	37	39.5	19.0919	63	-0.912506	-1.42277	-1.16764	0.36081	6.24762	8.73231	7.48996	1.75694	0.00614244	7.57436		28000	18527	97.1166245	1.5609643	96882	146994	1.39553e-07	5.57487e-05	8.42535e-05
4	5	1	2	4.5	0.707107	6	0.417728	-0.857399	-0.219835	0.901651	1.39048	0.913846	1.15216	0.337028	0.0327924	1.18205		32891	8102	90.6066202	7.8601769	51683	280934	1.09663e-07	2.38977e-04	9.70153e-04
3	2	3	2	2.5	0.707107	5	-1.685	-1.51314	-1.59907	0.121526	0.4	0.153846	0.276923	0.174057	0.0144868	0.276923		31886	6221	54.2638232	0.4018001	6121	449170	1.05791e-07	1.26011e-05	6.45877e-05
3	7	0	4	5	2.82843	7	-0.948075	-0.863509	-0.905792	0.0597972	0.628571	1.31692	0.972747	0.486738	-0.0226838	0.958974		11148	39467	12.8543702	9.7681187	80601	151566	7.42539e-08	8.76222e-04	2.47501e-04
6	7	0	1	6.5	0.707107	7	1.8113	1.74478	1.77804	0.0470391	2.8	2.88	2.84	0.0565685	0.0763726	3.07692		1168	13572	63.0615415	0.0283065	15284	222125	7.34286e-08	2.42350e-05	2.08566e-06
21	30	3	12	25.5	6.36396	33	0.860137	-0.957286	-0.0485741	1.28511	7.80952	5.83385	6.82168	1.39702	0.0578507	7.19487		45386	1069	73.9208017	0.1702679	60096	138391	1.02009e-07	3.75155e-06	1.59278e-04
18	23	3	8	20.5	3.53553	26	0.186807	-1.12368	-0.468438	0.926657	5.79048	4.16308	4.97678	1.15075	0.0123954	5.01282		17570	38539	44.1837113	0.0406239	109504	300512	1.34399e-07	2.31212e-06	1.05410e-06
1	1	1	1	1	0	2	-1.15945	-0.310532	-0.734989	0.600273	0.133333	0.212308	0.172821	0.0558433	0.0421173	0.182051		29633	39553	16.5358047	0.7997198	77015	224510	1.24309e-07	2.69875e-05	2.02189e-05
30	37	2	9	33.5	4.94975	39	-0.533317	-0.336986	-0.435151	0.138827	8.05714	8.82769	8.44242	0.544861	-0.012106	8.35128		13319	26391	9.4504630	8.6293347	36134	482727	1.32943e-07	6.47897e-04	3.26980e-04
0	5	0	5	2.5	3.53553	5	0	-1.69588	-0.847939	1.19917	0	0.526154	0.263077	0.372047	-0.00433722	0.269231		34540	31496	44.6661416	0.5148136	99464	486463	1.32202e-07	1.49049e-05	1.63454e-05
106	112	1	7	109	4.24264	113	0.565265	-0.227341	0.168962	0.560457	36.8	27.6492	32.2246	6.47057	-0.0137795	31.6718		12533	47063	38.6341242	4.3776265	15692	106045	8.15782e-08	3.49288e-04	9.30163e-05
19	18	2	1	18.5	0.707107	20	-0.688452	-0.534403	-0.611427	0.10893	4.85714	4.00615	4.43165	0.60174	-0.0253308	4.31282		9114	33964	42.0993839	3.7269856	97590	488414	8.33247e-08	4.08930e-04	1.09733e-04
2	0	2	0	1	1.41421	2	-1.49051	0	-0.745254	1.05395	0.266667	0	0.133333	0.188562	0.0387324	0.133333		49771	33273	36.3143761	4.1422511	102345	308153	1.55185e-07	8.32262e-05	1.24493e-04
143	147	2	6	145	2.82843	149	-2.34928	2.83064	0.240681	3.66276	20.5333	66.1815	43.3574	32.2782	0.13934	52.0795		11470	38324	38.4511141	2.2107927	43614	477080	1.60978e-07	1.92746e-04	5.76869e-05
36	25	14	3	30.5	7.77817	39	0.809344	-0.234101	0.287622	0.737827	13.181	6.13231	9.65663	4.98414	0.201149	11.7359		33165	11536	86.2564160	6.9289237	115490	116971	8.95797e-08	2.08923e-04	6.00635e-04
38	32	10	4	35	4.24264	42	-0.232881	1.40013	0.583627	1.15472	11.0476	11.5354	11.2915	0.344902	0.0010288	11.3103		818	9465	92.1466555	6.1291458	98568	96944	1.54628e-07	0.0074928	6.47559e-04
71	88	1	18	79.5	12.0208	89	0.108647	-1.20494	-0.548144	0.928843	22.381	15.9354	19.1582	4.5577	0.106427	21.2385		35620	23916	0.7750333	0.4679348	26930	128164	1.15327e-07	1.31369e-05	1.95658e-05
161	167	16	22	164	4.24264	183	1.24944	-0.826292	0.211573	1.46776	63.5333	34.6092	49.0713	20.4524	0.0482396	50.9333		14748	24648	13.9841725	1.2900583	93607	385303	1.24301e-07	8.74734e-05	5.23393e-05
9	11	1	3	10	1.41421	12	-1.22091	-0.205233	-0.713072	0.718192	1.86667	2.70462	2.28564	0.592519	0.0156171	2.3359		1037	7674	21.9267863	0.9338135	5488	110074	1.25480e-07	9.00495e-04	1.21685e-04
16	24	4	12	20	5.65685	28	0.6168	-0.526369	0.0452153	0.808342	5.67619	5.38154	5.52886	0.20835	0.0777455	5.98718		44731	11403	52.2357013	0.6451717	63693	75867	1.64718e-07	1.44234e-05	5.65791e-05
663	686	55	78	674.5	16.2635	741	-0.82063	1.10423	0.141798	1.36108	166.314	229.468	197.891	44.6562	0.0361083	206.551		23321	5398	94.5025073	5.2154650	17734	358590	7.71921e-08	2.23638e-04	9.66185e-04
53	47	18	12	50	4.24264	65	-0.568359	0.419939	-0.0742104	0.698832	14.1524	13.6738	13.9131	0.338375	0.0157818	14.1282		1211	30703	66.5020525	3.1691508	100791	346959	1.25642e-07	0.0026170	1.03220e-04
42	51	5	14	46.5	6.36396	56	2.25078	1.9371	2.09394	0.221804	19.7143	20.1323	19.9233	0.295586	-0.0210208	19.5179		10319	32149	12.5967763	0.2805079	3408	348670	1.64848e-07	2.71836e-05	8.72525e-06
2	0	2	0	1	1.41421	2	-1.00161	0	-0.500804	0.708243	0.380952	0	0.190476	0.269374	0.0990471	0.2		34439	38505	66.4494000	3.1893993	13244	452893	8.66035e-08	9.26101e-05	8.28308e-05
304	311	16	23	307.5	4.94975	327	2.07645	1.30459	1.69052	0.545787	137.248	108.234	122.741	20.5158	0.278109	168.031		17711	14549	94.7798295	1.7723333	81272	402255	1.67602e-07	1.00070e-04	1.21818e-04
8	8	0	0	8	0	8	-1.23072	1.11971	-0.0555035	1.662	1.6381	2.84308	2.24059	0.852051	0.00568401	2.27179		34509	22308	56.0020049	5.3899209	18220	215611	1.69055e-07	1.56189e-04	2.41614e-04
8	20	1	13	14	8.48528	21	-1.05966	-1.95614	-1.5079	0.633907	1.75238	2.38154	2.06696	0.444882	0.0144617	2.10769		7303	26105	14.4170055	3.3630461	57685	451805	1.26282e-07	4.60502e-04	1.28828e-04
2	7	1	6	4.5	3.53553	8	0.13916	-1.09969	-0.480266	0.876001	0.647619	1.17538	0.911502	0.373187	0.0668296	0.989744		7026	30842	87.4224275	1.4669034	108114	485	9.66853e-08	2.08782e-04	4.75619e-05
32	30	6	4	31	1.41421	36	0.550308	-1.15918	-0.304438	1.20879	11.1238	5.40615	8.26498	4.04299	0.0732483	8.77179		23210	7108	54.5237585	4.3484896	35834	269686	1.16784e-07	1.87354e-04	6.11774e-04
12	8	10	6	10	2.82843	18	-0.0352485	-0.412301	-0.223775	0.266616	3.65714	1.82154	2.73934	1.29797	0.165614	3.20513		24299	11749	32.6694050	6.5804522	23664	213012	1.56461e-07	2.70812e-04	5.60086e-04
14	18	2	6	16	2.82843	20	-0.597021	0.154893	-0.221064	0.531684	3.65714	4.92308	4.29011	0.895151	-0.005936	4.28205		9669	11151	45.2951836	8.6861788	12453	37939	1.22780e-07	8.98353e-04	7.78960e-04
386	389	5	8	387.5	2.12132	394	3.05745	1.55251	2.30498	1.06416	200.41	141.671	171.04	41.5346	0.134294	195.438		45383	33193	3.1634551	6.2461473	96252	322771	1.61568e-07	1.37632e-04	1.88177e-04
21	126	6	111	73.5	74.2462	132	0.326585	0.257101	0.291843	0.0491326	6.97143	35.1785	21.0749	19.9454	0.115563	24.7564		970	20477	69.4120604	1.5816600	72453	325348	7.02504e-08	0.0016306	7.72408e-05
1	1	1	1	1	0	2	-1.15945	-1.15559	-1.15752	0.00272832	0.133333	0.0769231	0.105128	0.0398881	0.00832674	0.105128		13687	6764	67.0721720	9.3655179	28193	269211	9.54035e-08	6.84264e-04	0.0013846
21	15	9	3	18	4.24264	24	0.520604	-1.45513	-0.467265	1.39706	7.27619	2.28308	4.77963	3.53066	0.367903	7.07949		22050	3464	79.4890756	5.4304774	31951	272442	1.19966e-07	2.46280e-04	0.0015677
566	574	2	10	570	5.65685	576	2.97261	3.61074	3.29168	0.451225	290.362	286.489	288.426	2.73839	-0.0528831	273.91		42553	11504	22.9237575	8.4472091	75093	297196	9.84205e-08	1.98510e-04	7.34285e-04
0	1	0	1	0.5	0.707107	1	0	-1.15559	-0.577794	0.817124	0	0.0769231	0.0384615	0.0543928	-0.023085	0.0384615		28513	44714	40.3832118	9.9983372	52212	406472	1.23487e-07	3.50659e-04	2.23606e-04
3	5	1	3	4	1.41421	6	-1.00949	-1.11027	-1.05988	0.0712675	0.609524	0.796923	0.703223	0.132511	0.0195891	0.720513		1283	39401	38.2866902	7.3290498	46427	36934	1.33824e-07	0.0057124	1.86012e-04
1	2	0	1	1.5	0.707107	2	-1.15945	0.0963521	-0.531547	0.887983	0.133333	0.547692	0.340513	0.292996	0.128116	0.405128		1201	1646	75.4173488	4.6047894	79779	108210	9.38469e-08	0.0038341	0.0027976
23	33	3	13	28	7.07107	36	0.319208	-0.82481	-0.252801	0.808943	7.61905	6.73846	7.17875	0.622668	-0.0105589	7.09231		39772	7919	46.1395523	5.2351520	19463	296134	8.43624e-08	1.31629e-04	6.61088e-04
208	207	6	5	207.5	0.707107	213	2.10806	3.48796	2.79801	0.975737	94.4476	102.009	98.2284	5.34687	0.0302813	101.438		40579	39965	16.0497593	5.7568251	47852	299762	9.12774e-08	1.41867e-04	1.44047e-04
40	36	11	7	38	2.82843	47	0.457049	0.983675	0.720362	0.372381	13.619	11.9046	12.7618	1.21229	-0.0235711	12.4487		24079	36165	62.4513887	1.7392044	90757	380488	1.24391e-07	7.22291e-05	4.80908e-05
20	11	20	11	15.5	6.36396	31	-0.760075	-0.747979	-0.754027	0.00855272	5.00952	2.23385	3.62168	1.9627	0.218002	4.48205		18647	33256	34.9668808	7.5231552	89034	94225	6.86419e-08	4.03451e-04	2.26219e-04
37	31	22	16	34	4.24264	53	-1.41265	-0.955557	-1.1841	0.323212	7.6	6.03692	6.81846	1.10526	0.0098572	6.86154		31860	312	12.0078373	4.1751901	104419	380867	1.32278e-07	1.31048e-04	0.0133820
558	562	4	8	560	2.82843	566	3.21543	1.6162	2.41581	1.13082	295.629	206.914	251.271	62.7308	0.0714736	268.367		42509	44115	24.5266546	6.8932161	49767	285286	1.16544e-07	1.62159e-04	1.56256e-04
14	24	1	11	19	7.07107	25	0.612973	-0.137454	0.237759	0.530632	4.97143	6.05231	5.51187	0.764297	-0.00214387	5.51538		37855	47634	27.0619047	2.1842228	8511	173183	9.47884e-08	5.76997e-05	4.58543e-05
23	29	2	8	26	4.24264	31	-0.371814	0.338915	-0.0164497	0.502561	6.4381	8.29538	7.36674	1.3133	-0.0232164	7.22051		16296	28317	44.5039326	9.9437421	28490	70726	1.05890e-07	6.10195e-04	3.51158e-04
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16302	34986	88.9807200	2.8866508	89498	462027	7.95590e-08	1.77073e-04	8.25087e-05
25	27	6	8	26	1.41421	33	0.271698	0.351382	0.31154	0.0563448	8.19048	7.75077	7.97062	0.31092	0.0436975	8.32564		20711	29495	9.5538065	6.1363367	81749	482907	9.40067e-08	2.96284e-04	2.08047e-04
1	3	1	3	2	1.41421	4	-1.15945	-1.73363	-1.44654	0.406007	0.133333	0.230769	0.182051	0.0688976	-0.00725027	0.182051		33716	13960	90.4143643	3.9594535	26448	56355	1.05865e-07	1.17435e-04	2.83628e-04
22	27	7	12	24.5	3.53553	34	-0.443859	-1.62132	-1.03259	0.832591	6.0381	3.96	4.99905	1.46944	0.0239807	5.08462		22668	10457	37.5338997	3.8176322	62443	63122	1.02833e-07	1.68415e-04	3.65079e-04
12	11	4	3	11.5	0.707107	15	-0.517826	0.479408	-0.019209	0.70515	3.2	3.29846	3.24923	0.0696228	0.00798573	3.27692		14773	9837	29.6233495	4.1900278	23649	269568	9.13380e-08	2.83627e-04	4.25946e-04
67	96	4	33	81.5	20.5061	100	1.95047	1.38424	1.66736	0.400384	29.8571	34.0677	31.9624	2.97731	0.112031	36.1308		11833	14006	42.7662322	7.1221157	38368	288479	1.04157e-07	6.01886e-04	5.08505e-04
393	390	4	1	391.5	2.12132	394	3.15483	2.6954	2.92512	0.324867	206.686	171.357	189.021	24.9812	0.051448	198.492		37878	7943	84.1177733	5.9683136	19503	447538	1.64117e-07	1.57567e-04	7.51393e-04
3	52	1	50	27.5	34.6482	53	-0.395378	0.754084	0.179353	0.812793	0.8	16.3108	8.55538	10.9678	0.291156	13.1923		3899	15980	64.6838785	9.1811656	118423	41024	1.60293e-07	0.0023547	5.74541e-04
29	532	2	505	280.5	355.675	534	0.0696454	-1.59009	-0.760225	1.17361	9.06667	83.8585	46.4626	52.8858	0.0102253	48.1333		26370	17592	5.3250307	4.7511160	81556	347421	1.39189e-07	1.80171e-04	2.70073e-04
11	9	4	2	10	1.41421	13	-1.07654	0.253566	-0.411487	0.940526	2.4381	2.54462	2.49136	0.0753211	0.175991	3.02821		14884	25931	25.3597492	8.8986320	101558	210591	7.49193e-08	5.97866e-04	3.43166e-04
8	329	0	321	168.5	226.981	329	0.0807196	-2.67046	-1.29487	1.94538	2.51429	28.3508	15.4325	18.2692	-0.0177052	15.4744		7034	547	45.3549102	1.1944325	99822	365420	1.22020e-07	1.69808e-04	0.0021836
12	172	5	165	92	113.137	177	-1.64384	1.88084	0.1185	2.49232	2.13333	66.5262	34.3297	45.5326	0.6469	114.792		13136	14704	47.6468187	9.6286565	97521	147792	1.51357e-07	7.32998e-04	6.54832e-04
0	2	0	2	1	1.41421	2	0	-1.22394	-0.611968	0.865453	0	0.224615	0.112308	0.158827	-0.00119567	0.115385		27534	30074	71.8360707	8.7638477	5129	491720	1.02564e-07	3.18292e-04	2.91409e-04
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		23555	394	63.5660971	1.5392062	72078	453871	1.32686e-07	6.53452e-05	0.0039066
3	2	1	0	2.5	0.707107	3	-0.763843	0.536448	-0.113697	0.919445	0.685714	0.655385	0.670549	0.0214463	-0.0414552	0.64359		18198	5597	6.3554624	8.7755940	76295	233469	7.86682e-08	4.82228e-04	0.0015679
2	5	0	3	3.5	2.12132	5	1.93179	0.0542799	0.993037	1.3276	1.06667	1.33538	1.20103	0.190012	-0.0475126	1.14872		27173	17609	10.0009823	3.9658791	61466	93839	1.33960e-07	1.45949e-04	2.25219e-04
25	5	23	3	15	14.1421	28	-1.71851	0.154099	-0.782205	1.32413	4.51429	1.38154	2.94791	2.21519	0.0268688	2.97179		16521	3536	13.0645246	1.7538178	86894	32784	8.16717e-08	1.06157e-04	4.95989e-04
699	697	5	3	698	1.41421	702	3.24271	3.84708	3.54489	0.427353	371.543	358.56	365.051	9.18027	-0.0538612	346.3		47489	17320	25.2869357	4.4598799	40597	7134	9.39263e-08	9.39140e-05	2.57499e-04
259	260	7	8	259.5	0.707107	267	2.24977	-1.53552	0.357121	2.67661	120.086	41.7877	80.9367	55.3651	0.154639	92.5897		20387	49304	0.7065895	2.5199300	49042	217532	1.56067e-07	1.23605e-04	5.11101e-05
1	144	0	143	72.5	101.116	144	-0.398828	0.735464	0.168318	0.802065	0.247619	44.7785	22.513	31.4881	0.128093	27.3872		40584	14484	31.3452807	4.4664667	30273	344612	1.05572e-07	1.10055e-04	3.08372e-04
34	48	2	16	41	9.89949	50	0.077425	-0.414423	-0.168499	0.347789	10.6476	11.2123	10.93	0.399295	-0.0381712	10.5333		45596	32660	73.4194794	0.7187316	80695	46581	6.94851e-08	1.57630e-05	2.20065e-05
113	110	3	0	111.5	2.12132	113	0.516315	3.32936	1.92284	1.98912	38.8381	53.3046	46.0714	10.2294	0.0355964	48.0564		34775	31089	89.2523013	1.6151172	115405	315829	7.84110e-08	4.64448e-05	5.19514e-05
103	104	2	3	103.5	0.707107	106	2.50477	2.60323	2.554	0.0696169	49.7714	45.3723	47.5719	3.11065	-0.0465348	45.4205		36538	31414	1.3806714	7.9112722	24387	400258	7.68842e-08	2.16522e-04	2.51839e-04
358	360	4	6	359	1.41421	364	2.82022	3.50087	3.16055	0.481299	180.019	177.295	178.657	1.92592	-0.0525778	169.713		6296	20553	2.3021973	5.6965294	68058	458083	9.35033e-08	9.04785e-04	2.77163e-04
13	11	3	1	12	1.41421	14	0.620087	0.578734	0.59941	0.0292414	4.62857	3.38462	4.00659	0.87961	0.0134991	4.04103		21583	1926	15.2021087	9.9403257	56956	125014	1.48190e-07	4.60563e-04	0.0051611
16	27	3	14	21.5	7.77817	30	0.21247	-1.42597	-0.606751	1.15855	5.18095	4.33538	4.75817	0.597907	0.0747133	5.12051		21229	31061	33.5810998	5.8080758	49872	124300	1.30392e-07	2.73592e-04	1.86989e-04
28	13	25	10	20.5	10.6066	38	-0.733344	0.65779	-0.0377772	0.98368	7.10476	4.06462	5.58469	2.14971	0.560855	12.1256		40388	10357	15.6799364	2.5583966	5584	421341	9.18945e-08	6.33455e-05	2.47021e-04
179	176	12	9	177.5	2.12132	188	2.78887	3.44063	3.11475	0.460865	89.8	86.2646	88.0323	2.49989	-0.0508737	83.7436		37679	19890	19.0088388	7.9621613	82444	111655	1.61525e-07	2.11316e-04	4.00310e-04
29	35	0	6	32	4.24264	35	0.168324	0.786322	0.477323	0.43699	9.27619	11.0954	10.1858	1.28636	0.00955319	10.3128		10477	24246	28.4240085	2.1498315	60405	344490	7.87562e-08	2.05195e-04	8.86675e-05
1	3	1	3	2	1.41421	4	-1.15945	-1.73363	-1.44654	0.406007	0.133333	0.230769	0.182051	0.0688976	-0.00725027	0.182051		11792	32226	54.6427664	1.1437740	54697	477415	1.15871e-07	9.69958e-05	3.54923e-05
379	388	2	11	383.5	6.36396	390	0.499908	1.55108	1.02549	0.743291	129.676	141.271	135.473	8.19861	-0.0490063	129.236		30158	8589	54.9862419	4.2563414	51980	453342	1.00782e-07	1.41135e-04	4.95557e-04
11	14	2	5	12.5	2.12132	16	-1.44546	-1.59389	-1.51968	0.104954	2.11429	1.96923	2.04176	0.102569	-0.033385	1.97436		37887	39956	65.2238564	3.2727004	55452	486895	8.92092e-08	8.63806e-05	8.19076e-05
118	113	6	1	115.5	3.53553	119	-0.895557	-1.41652	-1.15604	0.368377	28.8952	18.92	23.9076	7.05356	-0.0298922	23.1103		28239	23163	88.0014414	2.1031151	76761	121141	9.88414e-08	7.44756e-05	9.07963e-05
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9798	19077	10.7186537	7.8436644	12111	33021	1.06327e-07	8.00537e-04	4.11158e-04
392	315	142	65	353.5	54.4472	457	0.688107	-0.816625	-0.0642589	1.06401	139.229	65.6	102.414	52.0633	0.0592064	107.141		40101	12538	92.7857846	2.6798104	7883	294902	1.10867e-07	6.68265e-05	2.13735e-04
13	11	2	0	12	1.41421	13	-1.49677	0.227545	-0.634612	1.21927	2.47619	3.08	2.7781	0.426958	-0.00709165	2.76667		48220	10852	58.0991414	0.8879060	95737	18912	1.69767e-07	1.84136e-05	8.18196e-05
36	37	4	5	36.5	0.707107	41	1.31363	-1.47603	-0.0812029	1.97259	14.4952	5.89231	10.1938	6.08319	0.53582	20.4359		43896	2157	90.5859115	2.7841373	40311	3922	1.13346e-07	6.34258e-05	0.0012907
408	411	5	8	409.5	2.12132	416	0.27752	2.86501	1.57126	1.82963	133.314	185.145	159.229	36.6496	0.00155474	160.238		28310	24048	73.2742697	6.2450737	88931	273343	1.01450e-07	2.20596e-04	2.59692e-04
8	10	2	4	9	1.41421	12	0.251777	-0.479103	-0.113663	0.51681	2.62857	2.23692	2.43275	0.276937	0.0317833	2.50513		6396	47984	99.9683438	4.3964499	87171	373703	1.35863e-07	6.87375e-04	9.16232e-05
4	3	2	1	3.5	0.707107	5	-1.51811	-0.196944	-0.85753	0.934208	0.647619	0.723077	0.685348	0.0533568	-0.0100898	0.679487		1976	30741	33.0139289	5.5462511	116737	154929	9.64138e-08	0.0028068	1.80419e-04
58	46	25	13	52	8.48528	71	0.626112	-0.727616	-0.0507519	0.95723	20.419	9.75077	15.0849	7.54361	0.375018	23.0795		7760	43615	76.0507052	0.4096052	95888	288332	1.25699e-07	5.27842e-05	9.39138e-06
16	16	9	9	16	0	25	-0.238513	-0.410029	-0.324271	0.12128	4.62857	3.70154	4.16505	0.655511	0.131323	4.76154		33770	28024	45.0430793	9.5228483	15538	191065	1.04291e-07	2.81991e-04	3.39810e-04
391	394	7	10	392.5	2.12132	401	2.87164	1.9722	2.42192	0.636	197.971	154.366	176.169	30.8336	0.0277728	180.395		27947	9100	59.9735441	0.0643745	122027	48212	1.09204e-07	2.30345e-06	7.07412e-06
16	20	4	8	18	2.82843	24	1.3477	-0.489097	0.429303	1.29881	6.57143	4.52615	5.54879	1.44623	0.0395632	5.7359		14218	13608	80.3325367	6.0763370	22807	118733	1.53193e-07	4.27369e-04	4.46527e-04
36	38	1	3	37	1.41421	39	2.07005	2.6741	2.37207	0.427125	16.4667	17.0246	16.7456	0.394529	-0.0434039	16.0538		14016	16522	70.8744616	6.3394846	57409	42	1.30146e-07	4.52303e-04	3.83700e-04
57	89	36	68	73	22.6274	125	-0.396199	1.0884	0.346099	1.04977	15.9238	29.8308	22.8773	9.83371	0.249151	31.3205		18737	17582	26.3161727	1.4757373	47372	367564	7.93442e-08	7.87606e-05	8.39346e-05
63	70	1	8	66.5	4.94975	71	1.41887	2.33548	1.87718	0.648142	25.7143	29.4062	27.5602	2.61054	0.157005	32.8436		49195	45172	3.0808913	4.0831869	60895	432722	1.11292e-07	8.30000e-05	9.03920e-05
22	28	2	8	25	4.24264	30	1.93724	-0.594142	0.67155	1.78996	9.94286	6.15692	8.04989	2.67706	0.090846	8.74615		22469	4690	71.8040812	6.5369551	122642	288558	1.20520e-07	2.90932e-04	0.0013938
734	743	2	11	738.5	6.36396	745	-2.45925	3.84668	0.693712	4.45897	101.067	382.163	241.615	198.765	0.3407	391.023		21248	38033	42.8367605	3.8891633	30224	153732	1.21308e-07	1.83037e-04	1.02258e-04
11	18	6	13	14.5	4.94975	24	-0.4689	-1.45501	-0.961953	0.697282	2.97143	2.78154	2.87648	0.134273	0.0696808	3.08718		9745	35766	83.2600659	1.2265328	61161	166103	8.24307e-08	1.25863e-04	3.42933e-05
9	9	3	3	9	0	12	-0.420986	0.00621384	-0.207386	0.302076	2.45714	2.36308	2.41011	0.0665147	0.0523013	2.54103		35213	36721	57.6743434	5.2749632	3041	345995	1.31816e-07	1.49802e-04	1.43650e-04
15	17	1	3	16	1.41421	18	1.06829	1.83527	1.45178	0.542334	5.84762	6.77538	6.3115	0.656029	0.0207658	6.46154		14568	11377	8.8892862	7.4199118	60967	204513	1.58673e-07	5.09329e-04	6.52185e-04
3	13	1	11	8	7.07107	14	-0.763843	-0.511299	-0.637571	0.178575	0.685714	2.89538	1.79055	1.56247	0.108928	2.07949		5228	20109	10.7539666	2.5501724	37453	390318	9.28459e-08	4.87791e-04	1.26817e-04
19	50	13	44	34.5	21.9203	63	-1.95165	1.00667	-0.472492	2.09185	3.04762	16.5538	9.80073	9.55034	0.310992	15.2795		43586	46517	99.7677803	6.6265943	2651	271763	1.14011e-07	1.52035e-04	1.42455e-04
143	159	14	30	151	11.3137	173	0.71689	1.75395	1.23542	0.733313	51.1333	60.1815	55.6574	6.39805	0.0782727	60.6231		44951	16958	77.9203343	1.8682132	80830	171018	1.39751e-07	4.15611e-05	1.10167e-04
16	19	5	8	17.5	2.12132	24	-0.0052462	0.429328	0.212041	0.30729	4.91429	5.57846	5.24637	0.469643	-0.00136185	5.24872		30774	15505	76.3863804	8.7799045	24075	206483	8.43934e-08	2.85303e-04	5.66263e-04
6	15	2	11	10.5	6.36396	17	0.58265	0.156157	0.369404	0.301576	2.15238	4.10769	3.13004	1.38261	0.155865	3.78718		23794	32393	13.8786188	3.5491205	48712	264795	1.21659e-07	1.49160e-04	1.09564e-04
77	68	15	6	72.5	6.36396	83	1.69617	2.36396	2.03007	0.4722	32.8952	28.7077	30.8015	2.96104	-0.0396133	29.5897		35704	14516	66.6479386	5.8007868	124309	185415	1.20245e-07	1.62469e-04	3.99613e-04
2	8	0	6	5	4.24264	8	0.953994	-1.60284	-0.324423	1.80795	0.838095	1.02769	0.932894	0.134065	0.0533741	0.989744		4813	11790	82.1303654	3.8976562	49449	432824	1.09434e-07	8.09818e-04	3.30590e-04
