S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
240	12	236	8	126	161.22	248	1.39913	0.194325	0.796729	0.851928	97.1238	3.32615	50.225	66.325	0.742135	155.346	
16	18	4	6	17	1.41421	22	0.165816	0.342252	0.254034	0.124759	5.12381	5.17231	5.14806	0.0342934	-0.0156697	5.06923	
9	10	2	3	9.5	0.707107	12	-0.83385	0.489198	-0.172326	0.935536	2.15238	3.01231	2.58234	0.60806	0.0285918	2.67436	
360	513	4	157	436.5	108.187	517	1.00887	1.64275	1.32581	0.448218	135.867	189.791	162.829	38.1301	0.169673	198.436	
430	439	0	9	434.5	6.36396	439	1.63459	3.05671	2.34565	1.00559	180.876	203.258	192.067	15.8267	-0.0347865	185.828	
19	12	8	1	15.5	4.94975	20	-0.356031	2.20755	0.925762	1.81273	5.33333	5.20615	5.26974	0.0899295	0.050756	5.54872	
72	92	12	32	82	14.1421	104	-1.48633	-1.09145	-1.28889	0.279221	14.581	17.3692	15.9751	1.97161	-0.00662519	15.9077	
45	62	7	24	53.5	12.0208	69	-0.416583	-0.448004	-0.432294	0.0222179	12.4952	14.36	13.4276	1.31859	0.0379654	13.9949	
5	5	3	3	5	0	8	-0.0723056	-0.424851	-0.248578	0.249287	1.50476	1.11385	1.3093	0.276419	0.00321292	1.30769	
3	4	0	1	3.5	0.707107	4	0.894248	0.363294	0.628771	0.375442	1.2	1.19077	1.19538	0.00652714	-0.0523065	1.1359	
11	19	11	19	15	5.65685	30	-0.273588	-1.05175	-0.662671	0.550247	3.14286	3.51077	3.32681	0.260153	0.987256	265.072	
43	46	13	16	44.5	2.12132	59	-0.402547	0.0585412	-0.172003	0.326039	11.981	12.24	12.1105	0.183174	-0.000115481	12.1128	
24	27	2	5	25.5	2.12132	29	1.87998	2.35291	2.11644	0.334409	10.7238	11.5969	11.1604	0.617385	0.00979544	11.2846	
19	36	4	21	27.5	12.0208	40	-0.395922	0.252285	-0.0718183	0.458351	5.27619	10.0677	7.67194	3.3881	0.0369513	8.06154	
220	534	5	319	377	222.032	539	2.74144	1.65622	2.19883	0.767368	109.562	198.022	153.792	62.5504	0.189026	193.826	
8	8	1	1	8	0	9	0.109229	-0.481518	-0.186145	0.417721	2.53333	1.77538	2.15436	0.535951	0.157321	2.52564	
