S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
17	17	8	8	17	0	25	0.110636	0.528417	0.319526	0.295416	5.37143	5.12308	5.24725	0.175611	0.0600961	5.57692	
25	2	24	1	13.5	16.2635	26	-2.24442	0.536448	-0.853986	1.96637	3.54286	0.655385	2.09912	2.04175	0.0415862	2.13077	
38	43	18	23	40.5	3.53553	61	-0.566053	0.302257	-0.131898	0.613988	10.1333	12.1662	11.1497	1.43742	0.113867	12.6487	
25	29	3	7	27	2.82843	32	-0.491387	0.271464	-0.109961	0.539417	6.78095	8.15692	7.46894	0.972958	0.113164	8.46667	
49	48	34	33	48.5	0.707107	82	-0.805695	-0.607592	-0.706643	0.14008	12.2476	10.5754	11.4115	1.18245	0.0492855	11.9667	
17	16	11	10	16.5	0.707107	27	0.272544	-0.276518	-0.00198693	0.388245	5.58095	3.86154	4.72125	1.21581	0.107055	5.23333	
97	15	87	5	56	57.9828	102	-2.09807	0.354512	-0.871778	1.73424	15.5429	4.33231	9.93758	7.92706	0.017065	9.92051	
13	7	10	4	10	4.24264	17	-1.3469	-0.950794	-1.14885	0.280091	2.62857	1.26462	1.94659	0.964463	0.0725558	2.0641	
11	11	3	3	11	0	14	-0.512303	-0.762169	-0.637236	0.176682	2.93333	2.22154	2.57744	0.503315	-0.0224209	2.51282	
27	40	19	32	33.5	9.19239	59	-0.306494	-0.10511	-0.205802	0.1424	7.69524	10.1908	8.943	1.76461	0.241496	11.9385	
35	31	23	19	33	2.82843	54	0.104252	0.120844	0.112548	0.0117326	11.0286	8.38769	9.70813	1.86738	0.261274	12.9718	
743	547	199	3	645	138.593	746	2.466	-0.725064	0.870469	2.25642	355.048	117.302	236.175	168.112	0.285903	313.869	
42	40	14	12	41	1.41421	54	-0.997377	1.15849	0.0805549	1.52443	9.90476	13.6954	11.8001	2.68038	0.0571507	12.6026	
8	25	4	21	16.5	12.0208	29	1.36365	-0.228945	0.567351	1.12613	3.37143	6.14154	4.75648	1.95876	0.23462	6.37436	
1	127	0	126	64	89.0955	127	1.37595	2.86419	2.12007	1.05235	0.514286	57.5231	29.0187	40.3113	0.429126	57.7	
130	124	16	10	127	4.24264	140	2.491	1.87984	2.18542	0.43215	62.6095	48.0369	55.3232	10.3044	0.0927627	60.559	
165	11	156	2	88	108.894	167	-2.3431	2.24954	-0.0467819	3.24749	23.8095	4.83385	14.3217	13.4178	0.0418922	14.5564	
26	29	7	10	27.5	2.12132	36	-0.375727	0.0496273	-0.16305	0.300771	7.27619	7.70154	7.48886	0.300766	0.0403988	7.81282	
52	46	15	9	49	4.24264	61	0.394892	1.45399	0.924443	0.748898	17.4571	16.6585	17.0578	0.564753	-0.00901394	16.8949	
538	486	63	11	512	36.7696	549	-1.59998	-0.710354	-1.15517	0.629058	105.952	104.677	105.315	0.901885	-0.0144367	103.8	
20	0	20	0	10	14.1421	20	-0.176589	0	-0.0882946	0.124867	5.88571	0	2.94286	4.16183	0.564824	5.6	
