S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
21	12	21	12	16.5	6.36396	33	-0.170588	-0.543749	-0.357169	0.263864	6.19048	2.63692	4.4137	2.51274	0.965711	114.556	
46	30	44	28	38	11.3137	74	0.966766	0.153879	0.560322	0.574798	17.3333	8.18769	12.7605	6.46694	0.974945	458.974	
18	27	18	27	22.5	6.36396	45	-0.064682	0.304947	0.120132	0.261367	5.44762	7.66154	6.55458	1.56548	0.906744	73.3538	
1	49	1	49	25	33.9411	50	-1.15945	1.60654	0.223546	1.95585	0.133333	18.2431	9.18821	12.8055	0.980981	615.087	
10	14	10	14	12	2.82843	24	0.955643	0.0912971	0.52347	0.611185	3.84762	3.76615	3.80689	0.0576046	0.962596	101.479	
10	6	9	5	8	2.82843	15	-2.15604	2.05039	-0.0528231	2.97439	1.33333	2.66154	1.99744	0.939183	0.965379	62.9359	
21	16	19	14	18.5	3.53553	35	0.726749	0.42955	0.57815	0.210151	7.6	4.70769	6.15385	2.04517	0.809433	30.5179	
49	52	49	52	50.5	2.12132	101	1.12482	-0.67069	0.227066	1.26962	19.0095	11.24	15.1248	5.49388	0.978593	656.331	
3	9	3	9	6	4.24264	12	-0.395378	0.756654	0.180638	0.81461	0.8	2.91385	1.85692	1.49471	0.986111	154.895	
95	445	51	401	270	247.487	496	0.230139	1.56129	0.895716	0.941268	30.7524	162.286	96.5193	93.0084	0.728	406.4	
28	9	28	9	18.5	13.435	37	-1.00224	0.945313	-0.0284631	1.37713	6.55238	3.05231	4.80234	2.47493	0.965147	124.069	
24	17	24	17	20.5	4.94975	41	-0.616034	-0.23817	-0.427102	0.26719	6.28571	4.15385	5.21978	1.50746	0.948793	96.3333	
156	153	26	23	154.5	2.12132	179	0.425965	-0.65507	-0.114553	0.764407	52.6095	33.4369	43.0232	13.5571	0.207977	53.3333	
5	9	5	9	7	2.82843	14	-0.824435	-0.228561	-0.526498	0.421346	1.1619	2.19077	1.67634	0.727517	0.986294	132.764	
54	47	51	44	50.5	4.94975	98	-1.1332	-0.923451	-1.02833	0.148318	12.2476	9.33231	10.79	2.06144	0.851873	70.4359	
28	30	28	30	29	1.41421	58	-1.03933	-0.511367	-0.775348	0.373324	6.47619	6.77846	6.62733	0.213738	0.97774	299.6	
18	11	18	11	14.5	4.94975	29	0.270637	-1.02113	-0.375244	0.913414	5.90476	1.99692	3.95084	2.76326	0.972153	122.582	
